Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Adam Thielen,MIN,GB,home,44.0,0,0,0,0,0,0,1,4,0,0,12,202,2,0,0,0,16
Aaron Rodgers,GB,@MIN,away,44.0,38,28,347,4,0,0,2,13,1,0,0,0,0,0,0,0,16
Russell Wilson,SEA,@ARI,away,42.0,45,29,350,4,0,1,10,36,0,0,0,0,0,0,1,0,16
Tyrod Taylor,BUF,@MIA,away,37.0,39,26,329,3,0,0,12,60,0,0,0,0,0,0,0,0,16
Jordy Nelson,GB,@MIN,away,36.0,0,0,0,0,0,0,0,0,0,0,9,154,2,0,0,0,16
Doug Baldwin,SEA,@ARI,away,36.0,0,0,0,0,0,0,2,6,0,0,13,171,1,0,0,0,16
David Johnson,ARI,SEA,home,34.0,0,0,0,0,0,0,28,95,3,0,4,41,0,0,1,0,16
Travis Kelce,KC,@DEN,away,33.0,0,0,0,0,0,0,0,0,0,0,11,160,1,0,0,0,16
Sam Bradford,MIN,GB,home,32.0,50,34,382,3,0,0,2,5,0,0,0,0,0,0,1,0,16
Kirk Cousins,WAS,CHI,home,31.0,29,18,270,1,0,0,5,30,2,0,0,0,0,0,0,0,16
Dak Prescott,DAL,@DET,away,29.0,20,15,212,3,0,0,4,35,0,0,0,0,0,0,0,0,16
Colin Kaepernick,SF,LA,home,29.0,37,28,266,2,1,0,6,15,1,1,0,0,0,0,0,0,16
Dez Bryant,DAL,@DET,away,29.0,1,1,10,1,0,0,0,0,0,0,4,70,2,0,0,0,16
Sammy Watkins,BUF,@MIA,away,28.0,0,0,0,0,0,0,0,0,0,0,7,154,1,0,0,0,16
Cameron Meredith,CHI,@WAS,away,28.0,0,0,0,0,0,0,0,0,0,0,9,135,1,0,0,0,16
Andrew Luck,IND,OAK,home,28.0,29,19,288,2,2,1,4,12,1,0,0,0,0,0,0,0,16
Charles Clay,BUF,@MIA,away,28.0,0,0,0,0,0,0,0,0,0,0,8,85,2,0,0,0,16
Blake Bortles,JAX,@TEN,away,28.0,38,26,325,1,0,0,3,7,0,0,1,20,1,0,0,0,16
Le'Veon Bell,PIT,@BAL,away,28.0,0,0,0,0,0,0,20,122,1,0,3,15,1,0,0,0,16
Derek Carr,OAK,@IND,away,27.0,31,21,232,3,0,0,1,8,0,0,0,0,0,0,0,0,16
Jay Ajayi,MIA,BUF,home,27.0,0,0,0,0,0,0,32,206,1,0,1,3,0,0,0,0,16
Tom Brady,NE,@NYJ,away,26.0,27,17,214,3,0,0,0,0,0,0,0,0,0,0,0,0,16
Odell Beckham Jr,NYG,PHI,home,26.0,0,0,0,0,0,0,0,0,0,0,11,150,0,0,0,0,16
Ben Roethlisberger,PIT,@BAL,away,25.0,33,24,279,3,2,0,1,-1,0,0,0,0,0,0,0,0,16
Brandon LaFell,CIN,HOU,home,25.0,0,0,0,0,0,0,0,0,0,0,6,130,1,0,0,0,16
Mark Ingram,NO,@TB,away,25.0,0,0,0,0,0,0,18,90,2,1,2,3,0,0,0,0,16
Antonio Brown,PIT,@BAL,away,25.0,0,0,0,0,0,0,0,0,0,0,10,96,1,0,0,0,16
LeSean McCoy,BUF,@MIA,away,24.0,0,0,0,0,0,0,24,128,1,0,5,17,0,0,0,0,16
DeAndre Washington,OAK,@IND,away,23.0,0,0,0,0,0,0,12,99,2,0,1,18,0,0,0,0,16
Alex Smith,KC,@DEN,away,23.0,36,25,244,1,1,0,4,46,1,0,0,0,0,0,0,0,16
Matt Ryan,ATL,CAR,home,23.0,33,27,277,2,0,0,2,9,0,0,0,0,0,0,0,0,16
Allen Robinson,JAX,@TEN,away,23.0,0,0,0,0,0,0,0,0,0,0,9,147,0,0,0,0,16
Antonio Gates,SD,CLE,home,23.0,0,0,0,0,0,0,0,0,0,0,8,94,1,0,0,0,16
Zach Zenner,DET,DAL,home,22.0,0,0,0,0,0,0,12,67,2,0,2,25,0,0,0,0,16
Steve Smith,BAL,PIT,home,22.0,0,0,0,0,0,0,0,0,0,0,7,79,1,1,0,0,16
Philip Rivers,SD,CLE,home,22.0,46,23,322,2,1,0,1,0,0,0,0,0,0,0,0,0,16
JJ Nelson,ARI,SEA,home,22.0,0,0,0,0,0,0,0,0,0,0,3,132,1,0,0,0,16
Mike Evans,TB,NO,home,22.0,0,0,0,0,0,0,0,0,0,0,7,97,1,0,0,0,16
Ezekiel Elliott,DAL,@DET,away,22.0,0,0,0,0,0,0,12,80,2,0,1,12,0,0,0,0,16
Tevin Coleman,ATL,CAR,home,22.0,0,0,0,0,0,0,9,90,1,0,3,45,0,0,0,0,16
Isaiah Crowell,CLE,@SD,away,21.0,0,0,0,0,0,0,16,54,2,0,4,4,0,0,0,0,16
Jameis Winston,TB,NO,home,20.0,35,23,277,2,2,0,3,14,0,0,0,0,0,0,0,0,16
Sterling Shepard,NYG,PHI,home,19.0,0,0,0,0,0,0,1,2,0,0,7,61,1,0,0,0,16
Matt Moore,MIA,BUF,home,19.0,30,16,233,2,1,0,1,-1,0,0,0,0,0,0,0,0,16
Chris Ivory,JAX,@TEN,away,19.0,0,0,0,0,0,0,14,45,1,0,4,69,0,0,1,0,16
Rod Streater,SF,LA,home,18.0,0,0,0,0,0,0,0,0,0,0,6,63,1,0,0,0,16
DeVante Parker,MIA,BUF,home,18.0,0,0,0,0,0,0,0,0,0,0,4,85,1,0,0,0,16
Marqise Lee,JAX,@TEN,away,18.0,1,1,20,1,0,0,0,0,0,0,3,37,1,0,0,0,16
Alfred Blue,HOU,@CIN,away,18.0,0,0,0,0,0,0,21,73,1,0,4,17,0,0,0,0,16
Carson Palmer,ARI,SEA,home,17.0,26,16,284,1,0,0,1,-1,0,0,0,0,0,0,0,0,16
Todd Gurley,LA,@SF,away,17.0,0,0,0,0,0,0,23,67,1,0,3,20,0,0,0,0,16
Eric Ebron,DET,DAL,home,17.0,0,0,0,0,0,0,0,0,0,0,8,93,0,0,0,0,16
Drew Brees,NO,@TB,away,17.0,34,23,299,1,0,0,4,1,0,0,0,0,0,0,0,0,16
LeGarrette Blount,NE,@NYJ,away,17.0,0,0,0,0,0,0,20,50,2,0,0,0,0,0,0,0,16
Tyrell Williams,SD,CLE,home,16.0,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0,16
Chris Thompson,WAS,CHI,home,16.0,0,0,0,0,0,0,3,20,1,0,1,17,1,0,0,0,16
Jalen Richard,OAK,@IND,away,16.0,0,0,0,0,0,0,6,66,0,0,3,13,1,0,0,0,16
DeSean Jackson,WAS,CHI,home,16.0,0,0,0,0,0,0,0,0,0,0,5,114,0,0,0,0,16
TY Hilton,IND,OAK,home,16.0,0,0,0,0,0,0,0,0,0,0,4,105,0,1,0,0,16
Devonta Freeman,ATL,CAR,home,16.0,0,0,0,0,0,0,13,53,0,0,8,35,0,0,0,0,16
Joe Flacco,BAL,PIT,home,16.0,44,30,262,1,1,1,0,0,0,0,0,0,0,0,0,0,16
Victor Cruz,NYG,PHI,home,16.0,0,0,0,0,0,0,0,0,0,0,8,84,0,0,0,0,16
Michael Crabtree,OAK,@IND,away,16.0,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,0,16
Kelvin Benjamin,CAR,@ATL,away,16.0,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0,16
Michael Thomas,NO,@TB,away,15.0,0,0,0,0,0,0,0,0,0,0,6,98,0,0,0,0,16
Jacquizz Rodgers,TB,NO,home,15.0,0,0,0,0,0,0,15,63,1,0,2,15,0,0,0,0,16
Dennis Pitta,BAL,PIT,home,15.0,0,0,0,0,0,0,0,0,0,0,8,75,0,0,0,0,16
Tyreek Hill,KC,@DEN,away,15.0,0,0,0,0,0,0,6,95,1,0,0,0,0,0,0,0,16
Demetrius Harris,KC,@DEN,away,15.0,0,0,0,0,0,0,0,0,0,0,6,37,1,0,0,0,16
Mack Brown,WAS,CHI,home,15.0,0,0,0,0,0,0,8,82,1,0,1,-2,0,0,0,0,16
Darren Sproles,PHI,@NYG,away,14.0,0,0,0,0,0,0,7,40,1,0,2,23,0,0,0,0,16
Paul Richardson,SEA,@ARI,away,14.0,0,0,0,0,0,0,0,0,0,0,4,42,1,0,0,0,16
Eli Manning,NYG,PHI,home,14.0,63,38,356,1,3,0,0,0,0,0,0,0,0,0,0,0,16
Alshon Jeffery,CHI,@WAS,away,14.0,0,0,0,0,0,0,0,0,0,0,5,92,0,0,0,0,16
Andy Dalton,CIN,HOU,home,14.0,41,28,268,1,1,0,0,0,0,0,0,0,0,0,0,0,16
Brandin Cooks,NO,@TB,away,14.0,0,0,0,0,0,0,0,0,0,0,5,98,0,0,0,0,16
Matt Barkley,CHI,@WAS,away,14.0,40,24,323,2,5,0,0,0,0,0,0,0,0,0,0,0,16
Davante Adams,GB,@MIN,away,14.0,0,0,0,0,0,0,0,0,0,0,4,44,1,0,0,0,16
James White,NE,@NYJ,away,13.0,0,0,0,0,0,0,1,14,0,0,3,32,1,0,0,0,16
Matthew Stafford,DET,DAL,home,13.0,46,26,260,0,1,0,1,1,1,0,0,0,0,0,1,0,16
Jerick McKinnon,MIN,GB,home,13.0,0,0,0,0,0,0,11,50,0,0,5,35,0,0,0,0,16
Jermaine Kearse,SEA,@ARI,away,13.0,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0,16
Carlos Hyde,SF,LA,home,13.0,0,0,0,0,0,0,13,38,0,0,3,24,1,0,1,0,16
Pierre Garcon,WAS,CHI,home,13.0,0,0,0,0,0,0,0,0,0,0,4,94,0,0,0,0,16
Julian Edelman,NE,@NYJ,away,13.0,0,0,0,0,0,0,0,0,0,0,5,89,0,0,0,0,16
Carson Wentz,PHI,@NYG,away,12.0,24,13,152,1,1,0,4,27,0,0,0,0,0,0,0,0,16
Deonte Thompson,CHI,@WAS,away,12.0,0,0,0,0,0,0,0,0,0,0,3,34,1,0,0,0,16
Kenny Stills,MIA,BUF,home,12.0,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0,16
Eli Rogers,PIT,@BAL,away,12.0,0,0,0,0,0,0,1,6,0,0,4,84,0,0,0,0,16
Cam Newton,CAR,@ATL,away,12.0,43,18,198,1,2,0,8,36,0,0,0,0,0,0,0,0,16
Rishard Matthews,TEN,JAX,home,12.0,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0,16
Jordan Howard,CHI,@WAS,away,12.0,0,0,0,0,0,0,18,119,0,0,1,9,0,0,0,0,16
Andre Holmes,OAK,@IND,away,12.0,0,0,0,0,0,0,0,0,0,0,3,33,1,0,0,0,16
Jimmy Graham,SEA,@ARI,away,12.0,0,0,0,0,0,0,0,0,0,0,2,43,1,0,0,0,16
Stefon Diggs,MIN,GB,home,12.0,0,0,0,0,0,0,0,0,0,0,4,29,1,0,0,0,16
Amari Cooper,OAK,@IND,away,12.0,0,0,0,0,0,0,0,0,0,0,5,76,0,0,0,0,16
Nelson Agholor,PHI,@NYG,away,12.0,0,0,0,0,0,0,1,5,0,0,2,47,1,0,0,0,16
Jason Witten,DAL,@DET,away,11.0,0,0,0,0,0,0,0,0,0,0,2,33,1,0,0,0,16
Delanie Walker,TEN,JAX,home,11.0,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0,16
Golden Tate,DET,DAL,home,11.0,0,0,0,0,0,0,0,0,0,0,6,58,0,0,0,0,16
