Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Drew Brees,NO,ARI,home,38.0,48,37,389,4,0,0,2,-2,0,0,0,0,0,0,1,0,15
Brandin Cooks,NO,ARI,home,37.0,0,0,0,0,0,0,0,0,0,0,7,186,2,0,0,0,15
Devonta Freeman,ATL,@SF,away,33.0,0,0,0,0,0,0,20,139,3,0,2,16,0,0,1,0,15
Matt Moore,MIA,NYJ,home,31.0,18,12,236,4,1,0,0,0,0,0,0,0,0,0,0,0,15
LeSean McCoy,BUF,@CLE,away,31.0,0,0,0,0,0,0,19,153,2,0,3,16,0,0,0,0,15
Ty Montgomery,GB,CHI,home,30.0,0,0,0,0,0,0,16,162,2,0,2,1,0,0,0,0,15
Russell Wilson,SEA,@LA,away,26.0,26,19,229,3,1,0,6,12,0,0,0,0,0,0,0,0,15
Bilal Powell,NYJ,@MIA,away,26.0,0,0,0,0,0,0,16,84,0,0,11,78,0,0,0,0,15
Tyler Lockett,SEA,@LA,away,26.0,0,0,0,0,0,0,0,0,0,0,7,130,1,0,0,0,15
David Johnson,ARI,@NO,away,26.0,0,0,0,0,0,0,12,53,2,0,4,55,0,0,0,0,15
Ezekiel Elliott,DAL,@TB,away,26.0,0,0,0,0,0,0,23,159,1,0,3,29,0,0,0,0,15
Carson Palmer,ARI,@NO,away,24.0,40,28,318,2,0,0,0,0,0,0,0,0,0,0,0,0,15
Cam Newton,CAR,WAS,home,24.0,37,21,300,2,0,0,3,0,0,0,0,0,0,0,0,0,15
Matt Ryan,ATL,@SF,away,23.0,23,17,286,2,0,0,1,-1,0,0,0,0,0,0,0,0,15
Andrew Luck,IND,MIN,home,22.0,28,21,250,2,0,0,1,8,0,0,0,0,0,0,0,0,15
Ryan Mathews,PHI,BAL,home,21.0,0,0,0,0,0,0,20,128,1,1,1,5,0,0,0,0,15
Colin Kaepernick,SF,ATL,home,21.0,33,20,183,2,0,0,3,21,0,0,0,0,0,0,0,0,15
Jordan Howard,CHI,@GB,away,21.0,0,0,0,0,0,0,17,90,1,0,4,23,0,0,0,0,15
Golden Tate,DET,NYG,home,20.0,0,0,0,0,0,0,0,0,0,0,8,122,0,0,0,0,15
Eli Manning,NYG,@DET,away,20.0,28,20,201,2,0,0,0,0,0,0,0,0,0,0,0,0,15
Alshon Jeffery,CHI,@GB,away,20.0,0,0,0,0,0,0,0,0,0,0,6,89,1,0,0,0,15
Charles Clay,BUF,@CLE,away,20.0,0,0,0,0,0,0,0,0,0,0,7,72,1,0,0,0,15
