Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Robert Turbin,IND,MIN,home,19.0,0,0,0,0,0,0,7,32,2,0,2,22,0,0,0,0,15
Deonte Thompson,CHI,@GB,away,19.0,0,0,0,0,0,0,0,0,0,0,8,110,0,0,0,0,15
Dion Sims,MIA,NYJ,home,19.0,0,0,0,0,0,0,0,0,0,0,4,31,2,0,0,0,15
Dak Prescott,DAL,@TB,away,19.0,36,32,279,0,0,0,4,20,1,0,0,0,0,0,0,0,15
Jordy Nelson,GB,CHI,home,19.0,0,0,0,0,0,0,0,0,0,0,7,124,0,0,0,0,15
Cameron Meredith,CHI,@GB,away,19.0,0,0,0,0,0,0,0,0,0,0,9,104,0,0,0,0,15
Jarvis Landry,MIA,NYJ,home,19.0,0,0,0,0,0,0,0,0,0,0,3,108,1,0,0,0,15
Tim Hightower,NO,ARI,home,19.0,0,0,0,0,0,0,11,37,2,0,3,11,0,0,0,0,15
John Brown,ARI,@NO,away,19.0,0,0,0,0,0,0,0,0,0,0,5,81,1,0,0,0,15
Matt Barkley,CHI,@GB,away,19.0,43,30,362,2,3,0,0,0,0,0,0,0,0,0,1,0,15
Michael Thomas,NO,ARI,home,18.0,0,0,0,0,0,0,0,0,0,0,7,52,1,0,0,0,15
Eli Rogers,PIT,CIN,home,18.0,0,0,0,0,0,0,0,0,0,0,5,75,1,0,0,0,15
Philip Rivers,SD,@OAK,away,18.0,30,17,206,2,1,0,0,0,0,0,0,0,0,0,0,0,15
DeMarco Murray,TEN,KC,home,18.0,0,0,0,0,0,0,18,89,0,0,5,52,0,0,0,0,15
DeSean Jackson,WAS,@CAR,away,18.0,0,0,0,0,0,0,0,0,0,0,7,111,0,0,0,0,15
Michael Crabtree,OAK,SD,home,18.0,0,0,0,0,0,0,0,0,0,0,6,60,1,0,0,0,15
Cameron Brate,TB,DAL,home,18.0,0,0,0,0,0,0,0,0,0,0,5,73,1,0,0,0,15
Odell Beckham Jr,NYG,@DET,away,18.0,0,0,0,0,0,0,1,9,0,0,6,64,1,0,0,0,15
Robby Anderson,NYJ,@MIA,away,18.0,0,0,0,0,0,0,0,0,0,0,4,80,1,0,0,0,15
Kyle Rudolph,MIN,@IND,away,17.0,0,0,0,0,0,0,0,0,0,0,8,97,0,0,0,0,15
Ben Roethlisberger,PIT,CIN,home,17.0,36,21,286,1,0,0,4,-5,0,0,0,0,0,0,0,0,15
Derrick Henry,TEN,KC,home,17.0,0,0,0,0,0,0,9,58,2,0,0,0,0,0,0,0,15
Robert Griffin III,CLE,BUF,home,17.0,28,17,196,0,0,0,8,48,1,0,0,0,0,0,0,0,15
Joe Flacco,BAL,@PHI,away,17.0,30,16,206,2,1,0,1,-1,0,0,0,0,0,0,1,0,15
Le'Veon Bell,PIT,CIN,home,17.0,0,0,0,0,0,0,23,93,0,0,5,38,0,0,0,0,15
Demaryius Thomas,DEN,@NE,away,16.0,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,0,15
Tyrod Taylor,BUF,@CLE,away,16.0,24,17,174,1,0,0,7,49,0,0,0,0,0,0,0,0,15
Lamar Miller,HOU,@JAX,away,16.0,0,0,0,0,0,0,22,63,1,0,2,26,0,0,0,0,15
Brandon LaFell,CIN,@PIT,away,16.0,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,0,15
DeAndre Hopkins,HOU,@JAX,away,16.0,0,0,0,0,0,0,0,0,0,0,8,87,0,0,0,0,15
Ryan Griffin,HOU,@JAX,away,16.0,0,0,0,0,0,0,0,0,0,0,8,85,0,0,0,0,15
Ted Ginn Jr,CAR,WAS,home,16.0,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0,15
Dez Bryant,DAL,@TB,away,16.0,0,0,0,0,0,0,0,0,0,0,8,82,0,0,0,0,15
Terrance West,BAL,@PHI,away,15.0,0,0,0,0,0,0,13,77,0,0,4,45,0,0,0,0,15
Willie Snead,NO,ARI,home,15.0,0,0,0,0,0,0,0,0,0,0,8,76,0,0,0,0,15
Sterling Shepard,NYG,@DET,away,15.0,0,0,0,0,0,0,0,0,0,0,4,56,1,0,0,0,15
Aldrick Robinson,ATL,@SF,away,15.0,0,0,0,0,0,0,0,0,0,0,4,111,0,0,0,0,15
Jerick McKinnon,MIN,@IND,away,15.0,0,0,0,0,0,0,3,12,0,0,9,59,0,0,0,0,15
Frank Gore,IND,MIN,home,15.0,0,0,0,0,0,0,26,101,0,0,4,14,0,0,0,0,15
Taylor Gabriel,ATL,@SF,away,15.0,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0,15
Travaris Cadet,NO,ARI,home,15.0,0,0,0,0,0,0,1,16,0,0,5,30,1,0,0,0,15
Jason Witten,DAL,@TB,away,14.0,0,0,0,0,0,0,0,0,0,0,10,51,0,0,1,0,15
Jameis Winston,TB,DAL,home,14.0,35,17,247,2,3,0,1,6,0,0,0,0,0,0,1,0,15
Erik Swoope,IND,MIN,home,14.0,0,0,0,0,0,0,0,0,0,0,3,50,1,0,0,0,15
Jonathan Stewart,CAR,WAS,home,14.0,0,0,0,0,0,0,25,132,0,0,1,8,0,0,0,0,15
Greg Olsen,CAR,WAS,home,14.0,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0,15
JJ Nelson,ARI,@NO,away,14.0,0,0,0,0,0,0,0,0,0,0,5,38,1,0,0,0,15
Jeremy Maclin,KC,@TEN,away,14.0,0,0,0,0,0,0,0,0,0,0,6,82,0,0,0,0,15
Rob Kelley,WAS,@CAR,away,14.0,0,0,0,0,0,0,9,8,1,0,4,47,0,0,0,0,15
Duke Johnson,CLE,BUF,home,14.0,0,0,0,0,0,0,5,31,0,0,5,62,0,0,0,0,15
Pierre Garcon,WAS,@CAR,away,14.0,0,0,0,0,0,0,0,0,0,0,7,78,0,0,0,0,15
Zach Ertz,PHI,BAL,home,14.0,0,0,0,0,0,0,0,0,0,0,6,80,0,0,0,0,15
Jared Cook,GB,CHI,home,14.0,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0,15
Doug Baldwin,SEA,@LA,away,14.0,0,0,0,0,0,0,0,0,0,0,5,35,1,0,0,0,15
Rishard Matthews,TEN,KC,home,13.0,0,0,0,0,0,0,0,0,0,0,4,105,0,0,1,0,15
Julian Edelman,NE,DEN,home,13.0,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0,15
Travis Benjamin,SD,@OAK,away,13.0,0,0,0,0,0,0,0,0,0,0,2,56,1,0,0,0,15
Kerwynn Williams,ARI,@NO,away,12.0,0,0,0,0,0,0,3,63,1,0,0,0,0,0,0,0,15
Mike Tolbert,CAR,WAS,home,12.0,0,0,0,0,0,0,2,13,0,0,3,28,1,0,0,0,15
Kenny Stills,MIA,NYJ,home,12.0,0,0,0,0,0,0,0,0,0,0,1,52,1,0,0,0,15
Steve Smith,BAL,@PHI,away,12.0,0,0,0,0,0,0,0,0,0,0,2,40,1,0,0,0,15
Adam Humphries,TB,DAL,home,12.0,0,0,0,0,0,0,0,0,0,0,2,49,1,0,0,0,15
Tyreek Hill,KC,@TEN,away,12.0,0,0,0,0,0,0,1,68,1,0,0,0,0,0,0,0,15
Hunter Henry,SD,@OAK,away,12.0,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,0,15
Ladarius Green,PIT,CIN,home,12.0,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0,15
Phillip Dorsett,IND,MIN,home,12.0,0,0,0,0,0,0,0,0,0,0,1,50,1,0,0,0,15
Derek Carr,OAK,SD,home,12.0,30,19,213,1,1,0,5,5,0,0,0,0,0,0,0,0,15
Spencer Ware,KC,@TEN,away,11.0,0,0,0,0,0,0,18,69,0,0,3,25,0,0,0,0,15
Delanie Walker,TEN,KC,home,11.0,0,0,0,0,0,0,0,0,0,0,6,55,0,0,0,0,15
Alex Smith,KC,@TEN,away,11.0,28,15,163,0,1,0,4,11,1,0,0,0,0,0,0,0,15
Aaron Rodgers,GB,CHI,home,11.0,31,19,252,0,0,0,3,19,0,0,0,0,0,0,0,0,15
Dion Lewis,NE,DEN,home,11.0,0,0,0,0,0,0,18,95,0,0,2,9,0,0,0,0,15
Dontrelle Inman,SD,@OAK,away,11.0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0,15
Jeremy Hill,CIN,@PIT,away,11.0,0,0,0,0,0,0,20,43,1,0,1,8,0,0,0,0,15
Larry Fitzgerald,ARI,@NO,away,11.0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,1,0,15
Quincy Enunwa,NYJ,@MIA,away,11.0,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0,15
TJ Yeldon,JAX,HOU,home,10.0,0,0,0,0,0,0,8,28,0,0,5,34,0,0,0,0,15
Luke Willson,SEA,@LA,away,10.0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,15
