Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Derek Carr,OAK,TB,home,44.0,59,40,513,4,0,0,1,13,0,0,0,0,0,0,1,0,8
Aaron Rodgers,GB,ATL,home,41.0,38,28,246,4,0,0,6,60,0,1,0,0,0,0,0,0,8
Tom Brady,NE,BUF,home,37.0,33,22,315,4,0,0,1,15,0,0,0,0,0,0,0,0,8
Amari Cooper,OAK,TB,home,35.0,0,0,0,0,0,0,0,0,0,0,12,173,1,0,0,0,8
Blake Bortles,JAX,TEN,home,35.0,54,33,337,3,0,0,4,22,0,1,0,0,0,0,0,0,8
Dak Prescott,DAL,@PHI,away,30.0,39,19,287,2,1,0,7,38,1,0,0,0,0,0,0,0,8
Matt Ryan,ATL,@GB,away,29.0,35,28,288,3,0,0,2,9,0,0,0,0,0,0,0,0,8
Carson Palmer,ARI,CAR,home,29.0,46,35,363,3,1,0,0,0,0,0,0,0,0,0,1,0,8
Jordan Howard,CHI,@MIN,away,29.0,0,0,0,0,0,0,26,153,1,0,4,49,0,0,0,0,8
Kirk Cousins,WAS,CIN,home,28.0,56,38,458,2,1,0,3,-1,0,0,0,0,0,0,0,0,8
JJ Nelson,ARI,CAR,home,27.0,0,0,0,0,0,0,0,0,0,0,8,79,2,0,0,0,8
Theo Riddick,DET,HOU,home,26.0,0,0,0,0,0,0,11,56,0,0,8,77,1,0,0,0,8
Tyler Eifert,CIN,@WAS,away,25.0,0,0,0,0,0,0,0,0,0,0,9,102,1,0,0,0,8
Jamison Crowder,WAS,CIN,home,25.0,0,0,0,0,0,0,0,0,0,0,9,107,1,0,0,0,8
Jordan Reed,WAS,CIN,home,24.0,0,0,0,0,0,0,0,0,0,0,9,99,1,0,0,0,8
Josh McCown,CLE,@NYJ,away,24.0,49,25,341,2,2,1,3,10,0,0,0,0,0,0,0,0,8
Jonathan Stewart,CAR,@ARI,away,23.0,0,0,0,0,0,0,25,95,2,0,1,25,0,0,1,0,8
Mohamed Sanu,ATL,@GB,away,23.0,0,0,0,0,0,0,0,0,0,0,9,84,1,0,0,0,8
Jordan Matthews,PHI,DAL,home,23.0,0,0,0,0,0,0,0,0,0,0,11,65,1,0,0,0,8
Marcus Mariota,TEN,@JAX,away,23.0,22,18,270,2,0,0,3,11,0,0,0,0,0,0,0,0,8
Andrew Luck,IND,@KC,away,23.0,35,19,210,2,1,0,9,60,0,0,0,0,0,0,1,0,8
