Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Travis Kelce,KC,IND,home,23.0,0,0,0,0,0,0,0,0,0,0,7,101,1,0,0,0,8
Matt Forte,NYJ,CLE,home,23.0,0,0,0,0,0,0,25,82,2,0,2,16,0,0,0,0,8
Jameis Winston,TB,@OAK,away,22.0,32,16,180,2,0,1,3,16,0,0,0,0,0,0,0,0,8
Allen Hurns,JAX,TEN,home,22.0,0,0,0,0,0,0,0,0,0,0,7,98,1,0,0,0,8
Andy Dalton,CIN,@WAS,away,22.0,42,27,284,1,1,0,4,21,1,0,0,0,0,0,1,0,8
Drew Brees,NO,@SEA,away,22.0,35,27,265,1,0,0,1,1,1,0,0,0,0,0,0,0,8
Rob Gronkowski,NE,BUF,home,21.0,0,0,0,0,0,0,0,0,0,0,5,109,1,0,0,0,8
AJ Green,CIN,@WAS,away,21.0,0,0,0,0,0,0,0,0,0,0,9,121,0,0,0,0,8
Devonta Freeman,ATL,@GB,away,21.0,0,0,0,0,0,0,11,35,1,0,4,23,1,0,0,0,8
Stefon Diggs,MIN,CHI,home,21.0,0,0,0,0,0,0,0,0,0,0,8,76,1,0,0,0,8
Dez Bryant,DAL,@PHI,away,21.0,0,0,0,0,0,0,0,0,0,0,4,113,1,0,0,0,8
Tyreek Hill,KC,IND,home,20.0,0,0,0,0,0,0,1,7,0,0,5,98,1,0,0,0,8
Andrew Hawkins,CLE,@NYJ,away,20.0,0,0,0,0,0,0,0,0,0,0,5,31,2,0,0,0,8
Nick Foles,KC,IND,home,20.0,22,16,223,2,0,0,1,-1,0,0,0,0,0,0,0,0,8
Kendall Wright,TEN,@JAX,away,19.0,0,0,0,0,0,0,1,15,0,0,4,84,1,0,0,0,8
Jordy Nelson,GB,ATL,home,19.0,0,0,0,0,0,0,0,0,0,0,4,94,1,0,0,0,8
DeMarco Murray,TEN,@JAX,away,19.0,0,0,0,0,0,0,21,123,1,0,1,5,0,0,0,0,8
Chris Hogan,NE,BUF,home,19.0,0,0,0,0,0,0,0,0,0,0,4,91,1,0,0,0,8
Derrick Henry,TEN,@JAX,away,19.0,0,0,0,0,0,0,16,60,1,0,4,37,0,0,0,0,8
Melvin Gordon,SD,DEN,home,19.0,0,0,0,0,0,0,23,111,0,0,4,44,0,0,0,0,8
Quincy Enunwa,NYJ,CLE,home,19.0,0,0,0,0,0,0,0,0,0,0,4,93,1,0,0,0,8
Davante Adams,GB,ATL,home,19.0,0,0,0,0,0,0,0,0,0,0,12,74,0,0,0,0,8
Terrelle Pryor,CLE,@NYJ,away,18.0,0,0,0,0,0,0,0,0,0,0,6,101,0,1,0,0,8
Ezekiel Elliott,DAL,@PHI,away,18.0,0,0,0,0,0,0,22,96,0,0,4,52,0,0,0,0,8
Michael Crabtree,OAK,TB,home,18.0,0,0,0,0,0,0,0,0,0,0,8,108,0,0,0,0,8
Devontae Booker,DEN,@SD,away,18.0,0,0,0,0,0,0,19,54,1,0,5,30,0,0,1,0,8
Tyrod Taylor,BUF,@NE,away,17.0,38,19,183,0,0,0,5,48,1,0,0,0,0,0,0,0,8
David Johnson,ARI,CAR,home,17.0,0,0,0,0,0,0,10,24,0,0,7,84,0,0,0,0,8
Mike Gillislee,BUF,@NE,away,17.0,0,0,0,0,0,0,12,85,1,0,3,9,0,0,0,0,8
Larry Fitzgerald,ARI,CAR,home,17.0,0,0,0,0,0,0,0,0,0,0,10,74,0,0,0,0,8
Philip Rivers,SD,DEN,home,16.0,47,20,267,2,3,0,0,0,0,0,0,0,0,0,0,0,8
Duke Johnson,CLE,@NYJ,away,16.0,0,0,0,0,0,0,4,29,0,0,6,87,0,0,0,0,8
Alshon Jeffery,CHI,@MIN,away,16.0,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0,8
Ryan Fitzpatrick,NYJ,CLE,home,16.0,34,16,228,1,0,0,4,13,0,0,0,0,0,0,0,0,8
Jay Cutler,CHI,@MIN,away,16.0,31,20,252,1,0,0,1,2,0,0,0,0,0,0,0,0,8
Matthew Stafford,DET,HOU,home,15.0,41,27,240,1,0,0,0,0,0,0,0,0,0,0,0,0,8
Seth Roberts,OAK,TB,home,15.0,0,0,0,0,0,0,0,0,0,0,3,69,1,0,0,0,8
Zach Miller,CHI,@MIN,away,15.0,0,0,0,0,0,0,0,0,0,0,7,88,0,0,0,0,8
Taylor Gabriel,ATL,@GB,away,15.0,0,0,0,0,0,0,0,0,0,0,3,68,1,0,0,0,8
CJ Fiedorowicz,HOU,@DET,away,15.0,0,0,0,0,0,0,0,0,0,0,5,43,1,0,0,0,8
Sam Bradford,MIN,CHI,home,15.0,37,23,228,1,0,0,0,0,0,0,0,0,0,0,0,0,8
Carson Wentz,PHI,DAL,home,14.0,43,32,202,1,0,0,1,-3,0,0,0,0,0,0,0,0,8
Darren Sproles,PHI,DAL,home,14.0,0,0,0,0,0,0,15,86,0,0,5,17,0,0,0,0,8
CJ Prosise,SEA,NO,home,14.0,0,0,0,0,0,0,4,23,0,0,4,80,0,0,0,0,8
Bilal Powell,NYJ,CLE,home,14.0,0,0,0,0,0,0,6,76,1,0,1,3,0,0,0,0,8
Donte Moncrief,IND,@KC,away,14.0,0,0,0,0,0,0,1,-1,0,0,4,41,1,0,0,0,8
Rob Kelley,WAS,CIN,home,14.0,0,0,0,0,0,0,21,87,1,0,0,0,0,0,0,0,8
Jeremy Hill,CIN,@WAS,away,14.0,0,0,0,0,0,0,20,76,1,0,1,-3,0,0,0,0,8
Eric Ebron,DET,HOU,home,14.0,0,0,0,0,0,0,0,0,0,0,7,79,0,0,0,0,8
Vernon Davis,WAS,CIN,home,14.0,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0,8
Brandin Cooks,NO,@SEA,away,14.0,0,0,0,0,0,0,0,0,0,0,4,44,1,0,0,0,8
John Brown,ARI,CAR,home,14.0,0,0,0,0,0,0,0,0,0,0,4,49,1,0,0,0,8
Jacquizz Rodgers,TB,@OAK,away,13.0,0,0,0,0,0,0,19,69,1,0,1,9,0,0,0,0,8
Allen Robinson,JAX,TEN,home,13.0,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0,8
Lamar Miller,HOU,@DET,away,13.0,0,0,0,0,0,0,17,56,1,0,2,7,0,0,0,0,8
Rishard Matthews,TEN,@JAX,away,13.0,0,0,0,0,0,0,0,0,0,0,4,38,1,0,0,0,8
Jeremy Maclin,KC,IND,home,13.0,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0,8
Jeff Janis,GB,ATL,home,13.0,0,0,0,0,0,0,0,0,0,0,4,30,1,0,0,0,8
Frank Gore,IND,@KC,away,13.0,0,0,0,0,0,0,9,37,0,0,2,25,1,0,0,0,8
Antonio Gates,SD,DEN,home,13.0,0,0,0,0,0,0,0,0,0,0,4,33,1,0,0,0,8
Julian Edelman,NE,BUF,home,13.0,0,0,0,0,0,0,1,0,0,0,4,37,1,0,0,0,8
Isaiah Crowell,CLE,@NYJ,away,13.0,0,0,0,0,0,0,11,29,1,0,2,34,0,0,0,0,8
Giovani Bernard,CIN,@WAS,away,13.0,0,0,0,0,0,0,11,52,1,0,1,14,0,0,0,0,8
Travis Benjamin,SD,DEN,home,13.0,0,0,0,0,0,0,0,0,0,0,3,44,1,0,0,0,8
Michael Thomas,NO,@SEA,away,12.0,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0,8
Demaryius Thomas,DEN,@SD,away,12.0,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0,8
Mychal Rivera,OAK,TB,home,12.0,0,0,0,0,0,0,0,0,0,0,3,36,1,0,0,0,8
Cam Newton,CAR,@ARI,away,12.0,27,14,212,0,0,0,7,43,0,0,0,0,0,0,0,0,8
Pierre Garcon,WAS,CIN,home,12.0,0,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0,8
Delanie Walker,TEN,@JAX,away,11.0,0,0,0,0,0,0,1,3,0,0,4,75,0,0,0,0,8
Julius Thomas,JAX,TEN,home,11.0,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0,8
Golden Tate,DET,HOU,home,11.0,0,0,0,0,0,0,0,0,0,0,7,42,0,0,0,0,8
Willie Snead,NO,@SEA,away,11.0,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,0,8
Alex Smith,KC,IND,home,11.0,19,9,127,1,0,0,2,9,0,0,0,0,0,0,0,0,8
Brock Osweiler,HOU,@DET,away,11.0,29,20,186,1,1,0,3,-3,0,0,0,0,0,0,0,0,8
Latavius Murray,OAK,TB,home,11.0,0,0,0,0,0,0,11,48,0,0,5,23,0,0,0,0,8
Christine Michael,SEA,NO,home,11.0,0,0,0,0,0,0,10,40,1,0,1,2,0,0,0,0,8
Dontrelle Inman,SD,DEN,home,11.0,0,0,0,0,0,0,0,0,0,0,4,72,0,0,0,0,8
Tim Hightower,NO,@SEA,away,11.0,0,0,0,0,0,0,26,102,0,0,1,0,0,0,0,0,8
