Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Carson Palmer,ARI,ATL,home,21.0,45,25,289,2,1,0,1,0,0,0,0,0,0,0,0,0,12
Malcolm Mitchell,NE,NYJ,home,21.0,0,0,0,0,0,0,0,0,0,0,5,42,2,0,0,0,12
DeSean Jackson,WAS,DAL,home,21.0,0,0,0,0,0,0,0,0,0,0,4,118,1,0,0,0,12
Devonta Freeman,ATL,@ARI,away,21.0,0,0,0,0,0,0,16,60,2,0,2,17,0,0,0,0,12
Ryan Fitzpatrick,NYJ,@NE,away,21.0,32,22,269,2,0,0,2,1,0,0,0,0,0,0,1,0,12
Quincy Enunwa,NYJ,@NE,away,21.0,0,0,0,0,0,0,0,0,0,0,5,109,1,0,0,0,12
Carlos Hyde,SF,MIA,home,20.0,0,0,0,0,0,0,13,65,0,0,5,30,1,0,0,0,12
Jameis Winston,TB,@SEA,away,19.0,28,21,220,2,1,0,5,12,0,0,0,0,0,0,0,0,12
Terrelle Pryor,CLE,@NYG,away,19.0,0,0,0,0,0,0,0,0,0,0,6,131,0,0,0,0,12
Michael Crabtree,OAK,@CAR,away,19.0,0,0,0,0,0,0,0,0,0,0,8,110,0,0,0,0,12
Anquan Boldin,DET,@MIN,away,19.0,0,0,0,0,0,0,0,0,0,0,7,69,1,0,0,0,12
Matthew Stafford,DET,@MIN,away,18.0,40,23,232,1,0,0,4,30,0,0,0,0,0,0,0,0,12
Brandon Marshall,NYJ,@NE,away,18.0,0,0,0,0,0,0,0,0,0,0,6,67,1,0,0,0,12
Travis Kelce,KC,DEN,home,18.0,0,0,0,0,0,0,0,0,0,0,8,101,0,0,0,0,12
Tim Hightower,NO,@LA,away,18.0,0,0,0,0,0,0,15,51,0,0,2,54,1,0,0,0,12
Carson Wentz,PHI,@GB,away,17.0,36,24,254,0,1,0,4,33,1,0,0,0,0,0,0,0,12
Jordy Nelson,GB,PHI,home,17.0,0,0,0,0,0,0,0,0,0,0,8,91,0,0,0,0,12
Latavius Murray,OAK,@CAR,away,17.0,0,0,0,0,0,0,19,45,1,0,3,43,0,0,0,0,12
Tyler Eifert,CIN,BAL,home,17.0,0,0,0,0,0,0,0,0,0,0,5,68,1,0,0,0,12
Kenny Stills,MIA,@SF,away,16.0,0,0,0,0,0,0,0,0,0,0,3,72,1,0,0,0,12
Willie Snead,NO,@LA,away,16.0,1,1,50,1,0,0,0,0,0,0,5,38,0,0,0,0,12
Alex Smith,KC,DEN,home,16.0,44,26,220,1,0,1,2,2,0,0,0,0,0,0,0,0,12
Donte Moncrief,IND,@PIT,away,16.0,0,0,0,0,0,0,0,0,0,0,6,45,1,0,0,0,12
Josh McCown,CLE,@NYG,away,16.0,43,25,322,1,0,0,0,0,0,0,0,0,0,0,2,0,12
Julian Edelman,NE,NYJ,home,16.0,0,0,0,0,0,0,0,0,0,0,8,83,0,0,0,0,12
Andy Dalton,CIN,BAL,home,16.0,48,26,283,1,0,0,3,14,0,0,0,0,0,0,2,0,12
Jamison Crowder,WAS,DAL,home,16.0,0,0,0,0,0,0,0,0,0,0,8,88,0,0,0,0,12
Kenny Britt,LA,NO,home,16.0,0,0,0,0,0,0,0,0,0,0,5,52,1,0,0,0,12
Deonte Thompson,CHI,@TEN,away,15.0,0,0,0,0,0,0,0,0,0,0,5,44,1,0,0,0,12
Dion Sims,MIA,@SF,away,15.0,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0,12
Kyle Rudolph,MIN,DET,home,15.0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0,12
Rishard Matthews,TEN,CHI,home,15.0,0,0,0,0,0,0,0,0,0,0,3,64,1,0,0,0,12
Lance Kendricks,LA,NO,home,15.0,0,0,0,0,0,0,0,0,0,0,4,51,1,0,0,0,12
Jordan Howard,CHI,@TEN,away,15.0,0,0,0,0,0,0,18,84,0,0,3,43,0,0,0,0,12
Tavon Austin,LA,NO,home,15.0,0,0,0,0,0,0,1,10,0,0,4,45,1,0,0,0,12
Delanie Walker,TEN,CHI,home,14.0,0,0,0,0,0,0,0,0,0,0,3,50,1,0,0,0,12
Mohamed Sanu,ATL,@ARI,away,14.0,0,0,0,0,0,0,1,5,0,0,8,65,0,0,0,0,12
Seth Roberts,OAK,@CAR,away,14.0,0,0,0,0,0,0,0,0,0,0,3,31,1,1,0,0,12
Jeremy Hill,CIN,BAL,home,14.0,0,0,0,0,0,0,12,21,0,0,6,61,0,0,0,0,12
Jermaine Gresham,ARI,ATL,home,14.0,0,0,0,0,0,0,0,0,0,0,5,35,1,0,0,0,12
Dorial Green-Beckham,PHI,@GB,away,14.0,0,0,0,0,0,0,0,0,0,0,6,82,0,0,0,0,12
Bennie Fowler,DEN,@KC,away,14.0,0,0,0,0,0,0,0,0,0,0,1,76,1,0,0,0,12
Joe Flacco,BAL,@CIN,away,14.0,36,25,234,1,1,0,2,19,0,0,0,0,0,0,0,0,12
Clive Walford,OAK,@CAR,away,13.0,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0,12
Adam Thielen,MIN,DET,home,13.0,0,0,0,0,0,0,0,0,0,0,8,53,0,0,0,0,12
DeMarco Murray,TEN,CHI,home,13.0,0,0,0,0,0,0,17,43,0,0,5,41,0,0,0,0,12
Marqise Lee,JAX,BUF,home,13.0,0,0,0,0,0,0,1,2,0,0,4,37,1,0,0,0,12
Josh Hill,NO,@LA,away,13.0,0,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0,12
Isaiah Crowell,CLE,@NYG,away,13.0,0,0,0,0,0,0,16,44,0,0,6,47,0,0,1,0,12
Kelvin Benjamin,CAR,OAK,home,13.0,0,0,0,0,0,0,0,0,0,0,2,53,1,0,0,0,12
Golden Tate,DET,@MIN,away,12.0,0,0,0,0,0,0,0,0,0,0,5,77,0,0,0,0,12
Chris Ivory,JAX,BUF,home,12.0,0,0,0,0,0,0,9,44,1,0,1,11,0,0,0,0,12
DeAndre Hopkins,HOU,@SD,away,12.0,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0,12
Derrick Henry,TEN,CHI,home,12.0,0,0,0,0,0,0,8,60,1,0,0,0,0,0,0,0,12
Todd Gurley,LA,NO,home,12.0,0,0,0,0,0,0,13,50,0,0,4,39,0,0,0,0,12
Melvin Gordon,SD,HOU,home,12.0,0,0,0,0,0,0,17,70,0,0,4,19,0,0,0,0,12
Corey Coleman,CLE,@NYG,away,12.0,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0,12
Dez Bryant,DAL,@WAS,away,12.0,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0,12
Matt Asiata,MIN,DET,home,12.0,0,0,0,0,0,0,5,27,1,0,3,14,0,0,0,0,12
Jay Ajayi,MIA,@SF,away,12.0,0,0,0,0,0,0,18,45,1,0,1,11,0,0,0,0,12
Sammy Watkins,BUF,@JAX,away,11.0,0,0,0,0,0,0,0,0,0,0,3,80,0,0,0,0,12
Spencer Ware,KC,DEN,home,11.0,0,0,0,0,0,0,17,64,0,0,2,32,0,0,0,0,12
