Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Drew Brees,NO,@LA,away,41.0,36,28,310,4,0,0,1,1,1,0,0,0,0,0,1,0,12
Colin Kaepernick,SF,MIA,home,38.0,46,29,296,3,1,0,10,113,0,0,0,0,0,0,0,0,12
Kirk Cousins,WAS,DAL,home,35.0,53,41,449,3,0,0,1,2,0,0,0,0,0,0,0,0,12
Trevor Siemian,DEN,@KC,away,34.0,34,20,368,3,0,0,5,23,0,0,0,0,0,0,0,0,12
Ryan Tannehill,MIA,@SF,away,32.0,30,20,285,3,0,0,6,34,0,0,0,0,0,0,0,0,12
Antonio Brown,PIT,IND,home,32.0,0,0,0,0,0,0,0,0,0,0,5,91,3,0,0,0,12
Michael Thomas,NO,@LA,away,31.0,0,0,0,0,0,0,0,0,0,0,9,108,2,0,0,0,12
Jordan Reed,WAS,DAL,home,31.0,0,0,0,0,0,0,0,0,0,0,10,95,2,0,0,0,12
Mike Evans,TB,@SEA,away,30.0,0,0,0,0,0,0,0,0,0,0,8,104,2,0,0,0,12
Emmanuel Sanders,DEN,@KC,away,29.0,0,0,0,0,0,0,0,0,0,0,7,162,1,0,0,0,12
LeSean McCoy,BUF,@JAX,away,29.0,0,0,0,0,0,0,19,103,2,1,2,31,0,0,0,0,12
David Johnson,ARI,ATL,home,29.0,0,0,0,0,0,0,13,58,0,0,8,103,1,0,0,0,12
Mark Ingram,NO,@LA,away,29.0,0,0,0,0,0,0,14,146,1,0,1,21,1,0,0,0,12
Davante Adams,GB,PHI,home,28.0,0,0,0,0,0,0,0,0,0,0,5,113,2,0,0,0,12
Odell Beckham Jr,NYG,CLE,home,27.0,0,0,0,0,0,0,0,0,0,0,6,96,2,0,0,0,12
Marquess Wilson,CHI,@TEN,away,26.0,0,0,0,0,0,0,0,0,0,0,8,125,1,0,0,0,12
Ben Roethlisberger,PIT,IND,home,26.0,20,14,221,3,0,0,0,0,0,0,0,0,0,0,0,0,12
Aaron Rodgers,GB,PHI,home,26.0,39,30,313,2,0,0,6,26,0,0,0,0,0,0,0,0,12
Tyreek Hill,KC,DEN,home,26.0,0,0,0,0,0,0,1,3,1,0,9,52,1,0,0,0,12
Matt Barkley,CHI,@TEN,away,26.0,54,28,316,3,2,0,2,0,0,0,0,0,0,0,0,0,12
Philip Rivers,SD,HOU,home,25.0,30,22,242,3,1,0,0,0,0,0,0,0,0,0,0,0,12
Marcus Mariota,TEN,CHI,home,25.0,23,15,226,2,0,0,4,46,0,0,0,0,0,0,0,0,12
Eli Manning,NYG,CLE,home,25.0,27,15,194,3,0,0,2,-2,0,0,0,0,0,0,0,0,12
Taylor Gabriel,ATL,@ARI,away,25.0,0,0,0,0,0,0,1,27,0,0,4,75,2,0,0,0,12
Ezekiel Elliott,DAL,@WAS,away,25.0,0,0,0,0,0,0,20,97,2,0,2,23,0,0,0,0,12
Blake Bortles,JAX,BUF,home,25.0,26,13,126,2,0,0,8,81,0,0,0,0,0,0,0,0,12
Cam Newton,CAR,OAK,home,24.0,29,14,246,2,1,0,3,6,1,0,0,0,0,0,1,0,12
Le'Veon Bell,PIT,IND,home,24.0,0,0,0,0,0,0,23,120,1,0,4,22,0,0,0,0,12
Dontrelle Inman,SD,HOU,home,23.0,0,0,0,0,0,0,0,0,0,0,6,119,1,0,0,0,12
Jared Goff,LA,NO,home,23.0,32,20,214,3,1,0,0,0,0,0,0,0,0,0,1,0,12
Derek Carr,OAK,@CAR,away,23.0,38,26,315,2,1,1,5,-12,0,0,0,0,0,0,1,0,12
Tom Brady,NE,NYJ,home,23.0,50,30,286,2,0,0,3,-4,0,0,0,0,0,0,0,0,12
Dak Prescott,DAL,@WAS,away,22.0,24,17,195,1,0,0,8,39,1,0,0,0,0,0,0,0,12
Ted Ginn Jr,CAR,OAK,home,22.0,0,0,0,0,0,0,1,13,0,0,4,115,1,0,0,0,12
Tyrell Williams,SD,HOU,home,21.0,0,0,0,0,0,0,0,0,0,0,8,70,1,0,0,0,12
Tyrod Taylor,BUF,@JAX,away,21.0,18,12,166,1,0,0,7,38,1,0,0,0,0,0,0,0,12
Jonathan Stewart,CAR,OAK,home,21.0,0,0,0,0,0,0,17,96,2,0,0,0,0,0,0,0,12
Matt Ryan,ATL,@ARI,away,21.0,34,26,269,2,1,0,4,15,0,0,0,0,0,0,0,0,12
