Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Isaiah Crowell,CLE,@BAL,away,21.0,0,0,0,0,0,0,18,133,1,0,1,15,0,0,0,0,2
Mike Wallace,BAL,CLE,home,20.0,0,0,0,0,0,0,0,0,0,0,4,41,2,0,0,0,2
Delanie Walker,TEN,DET,home,20.0,0,0,0,0,0,0,0,0,0,0,6,83,1,0,0,0,2
DeMarco Murray,TEN,DET,home,20.0,0,0,0,0,0,0,12,89,0,0,7,56,0,0,0,0,2
Marcus Mariota,TEN,DET,home,20.0,33,25,238,2,1,0,2,11,0,0,0,0,0,0,0,0,2
Melvin Gordon,SD,@JAX,away,20.0,0,0,0,0,0,0,24,102,1,0,3,18,0,0,0,0,2
Joe Flacco,BAL,CLE,home,20.0,45,25,302,2,2,0,1,1,0,0,0,0,0,0,0,0,2
Andy Dalton,CIN,PIT,home,20.0,54,31,366,1,0,0,2,7,0,0,0,0,0,0,0,0,2
Kirk Cousins,WAS,@DAL,away,20.0,46,28,364,1,1,0,2,20,0,0,0,0,0,0,0,0,2
Sterling Shepard,NYG,@NO,away,19.0,0,0,0,0,0,0,0,0,0,0,8,117,0,0,0,0,2
Aaron Rodgers,GB,MIN,home,19.0,36,20,213,1,1,0,3,29,1,0,0,0,0,0,1,0,2
Dennis Pitta,BAL,CLE,home,19.0,0,0,0,0,0,0,0,0,0,0,9,102,0,0,0,0,2
Marvin Jones,DET,@TEN,away,19.0,0,0,0,0,0,0,0,0,0,0,8,118,0,0,0,0,2
Marquise Goodwin,BUF,@NYJ,away,19.0,0,0,0,0,0,0,0,0,0,0,2,112,1,0,0,0,2
Mike Evans,TB,ARI,home,19.0,0,0,0,0,0,0,0,0,0,0,6,70,1,0,0,0,2
Danny Amendola,NE,@MIA,away,19.0,0,0,0,0,0,0,0,0,0,0,4,48,2,0,1,0,2
Jacob Tamme,ATL,OAK,home,18.0,0,0,0,0,0,0,0,0,0,0,5,75,1,0,0,0,2
Greg Salas,BUF,@NYJ,away,18.0,0,0,0,0,0,0,0,0,0,0,4,89,1,0,0,0,2
DeVante Parker,MIA,NE,home,18.0,0,0,0,0,0,0,0,0,0,0,8,106,0,0,0,0,2
Jordy Nelson,GB,MIN,home,18.0,0,0,0,0,0,0,0,0,0,0,5,73,1,0,0,0,2
Josh McCown,CLE,@BAL,away,18.0,33,20,260,2,2,0,2,0,0,0,0,0,0,0,0,0,2
Larry Fitzgerald,ARI,@TB,away,18.0,0,0,0,0,0,0,1,4,0,0,5,77,1,0,0,0,2
LeGarrette Blount,NE,@MIA,away,18.0,0,0,0,0,0,0,29,123,1,0,0,0,0,0,0,0,2
Clive Walford,OAK,@ATL,away,17.0,0,0,0,0,0,0,0,0,0,0,6,50,1,0,0,0,2
Matthew Stafford,DET,@TEN,away,17.0,40,22,260,1,1,0,2,31,0,0,0,0,0,0,0,0,2
Dak Prescott,DAL,WAS,home,17.0,30,22,292,0,0,0,1,6,1,0,0,0,0,0,0,0,2
Dez Bryant,DAL,WAS,home,17.0,0,0,0,0,0,0,0,0,0,0,7,102,0,0,0,0,2
CJ Anderson,DEN,@IND,away,17.0,0,0,0,0,0,0,20,74,1,0,3,19,0,0,0,0,2
Demaryius Thomas,DEN,@IND,away,16.0,0,0,0,0,0,0,0,0,0,0,5,90,0,1,0,0,2
Willie Snead,NO,NYG,home,16.0,0,0,0,0,0,0,0,0,0,0,5,54,1,0,0,0,2
Ryan Mathews,PHI,CHI,home,16.0,0,0,0,0,0,0,9,32,2,0,1,3,0,0,0,0,2
Brandon Marshall,NYJ,BUF,home,16.0,0,0,0,0,0,0,0,0,0,0,6,101,0,0,0,0,2
David Johnson,ARI,@TB,away,16.0,0,0,0,0,0,0,12,45,0,0,3,98,0,0,0,0,2
Drew Brees,NO,NYG,home,16.0,44,29,263,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Odell Beckham Jr,NYG,@NO,away,16.0,0,0,0,0,0,0,0,0,0,0,8,86,0,0,0,0,2
Tyrell Williams,SD,@JAX,away,15.0,0,0,0,0,0,0,0,0,0,0,3,61,1,0,0,0,2
Fozzy Whittaker,CAR,@SF,away,15.0,0,0,0,0,0,0,16,100,0,0,3,31,0,0,1,0,2
Quincy Enunwa,NYJ,BUF,home,15.0,0,0,0,0,0,0,0,0,0,0,6,92,0,0,0,0,2
Ezekiel Elliott,DAL,WAS,home,15.0,0,0,0,0,0,0,21,83,1,0,2,4,0,0,1,0,2
Jamison Crowder,WAS,@DAL,away,15.0,0,0,0,0,0,0,0,0,0,0,6,39,1,0,0,0,2
Jordan Cameron,MIA,NE,home,15.0,0,0,0,0,0,0,0,0,0,0,5,49,1,0,0,0,2
Trey Burton,PHI,CHI,home,15.0,0,0,0,0,0,0,0,0,0,0,5,49,1,0,0,0,2
Jaron Brown,ARI,@TB,away,15.0,0,0,0,0,0,0,0,0,0,0,2,78,1,0,0,0,2
Kenny Britt,LA,@SEA,away,15.0,0,0,0,0,0,0,0,0,0,0,6,94,0,0,0,0,2
Carson Wentz,PHI,CHI,home,14.0,34,21,190,1,0,0,6,10,0,0,0,0,0,0,0,0,2
Torrey Smith,SF,CAR,home,14.0,0,0,0,0,0,0,0,0,0,0,3,55,1,0,0,0,2
Vance McDonald,SF,CAR,home,14.0,0,0,0,0,0,0,0,0,0,0,1,75,1,0,0,0,2
Alshon Jeffery,CHI,@PHI,away,14.0,0,0,0,0,0,0,0,0,0,0,5,96,0,0,0,0,2
Frank Gore,IND,DEN,home,14.0,0,0,0,0,0,0,13,44,0,0,3,19,1,0,0,0,2
Will Fuller,HOU,@KC,away,14.0,0,0,0,0,0,0,0,0,0,0,4,104,0,0,0,0,2
Julian Edelman,NE,@MIA,away,14.0,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0,2
Tevin Coleman,ATL,OAK,home,14.0,0,0,0,0,0,0,12,46,1,0,2,25,0,0,0,0,2
Anquan Boldin,DET,@TEN,away,14.0,0,0,0,0,0,0,0,0,0,0,4,48,1,0,0,0,2
Jordan Matthews,PHI,CHI,home,13.0,0,0,0,0,0,0,0,0,0,0,6,71,0,0,0,0,2
Eli Manning,NYG,@NO,away,13.0,41,32,368,0,0,0,4,-4,0,0,0,0,0,0,1,0,2
Tyler Lockett,SEA,LA,home,13.0,0,0,0,0,0,0,0,0,0,0,4,99,0,0,0,0,2
Matt Jones,WAS,@DAL,away,13.0,0,0,0,0,0,0,13,61,1,0,1,4,0,0,0,0,2
Michael Crabtree,OAK,@ATL,away,13.0,0,0,0,0,0,0,0,0,0,0,4,31,1,0,0,0,2
Brandin Cooks,NO,NYG,home,13.0,0,0,0,0,0,0,0,0,0,0,7,68,0,0,0,0,2
Kyle Rudolph,MIN,@GB,away,12.0,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0,2
Jordan Reed,WAS,@DAL,away,12.0,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0,2
Brock Osweiler,HOU,@KC,away,12.0,33,19,268,1,2,0,2,-3,0,0,0,0,0,0,0,0,2
LeSean McCoy,BUF,@NYJ,away,12.0,0,0,0,0,0,0,15,59,0,0,4,31,0,0,0,0,2
Jeremy Maclin,KC,HOU,home,12.0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0,2
Andrew Luck,IND,DEN,home,12.0,40,21,197,1,1,0,3,22,0,0,0,0,0,0,1,0,2
Marqise Lee,JAX,SD,home,12.0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0,2
Adam Humphries,TB,ARI,home,12.0,0,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0,2
Victor Cruz,NYG,@NO,away,12.0,0,0,0,0,0,0,0,0,0,0,4,91,0,0,1,0,2
Amari Cooper,OAK,@ATL,away,12.0,0,0,0,0,0,0,0,0,0,0,5,71,0,0,0,0,2
Tyler Boyd,CIN,PIT,home,12.0,0,0,0,0,0,0,0,0,0,0,6,78,0,0,1,0,2
Cole Beasley,DAL,WAS,home,12.0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0,2
TJ Yeldon,JAX,SD,home,11.0,0,0,0,0,0,0,7,28,0,0,8,10,0,0,0,0,2
Russell Wilson,SEA,LA,home,11.0,35,22,254,0,0,0,5,14,0,0,0,0,0,0,0,0,2
