Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Cam Newton,CAR,@SF,away,38.0,40,24,353,4,1,0,6,37,0,0,0,0,0,0,1,0,2
Matt Ryan,ATL,OAK,home,33.0,34,26,396,3,1,0,0,0,0,1,0,0,0,0,0,0,2
Stefon Diggs,MIN,@GB,away,33.0,0,0,0,0,0,0,0,0,0,0,9,182,1,0,0,0,2
Philip Rivers,SD,@JAX,away,32.0,24,17,220,4,0,0,1,10,0,0,0,0,0,0,1,0,2
Carson Palmer,ARI,@TB,away,30.0,30,17,304,3,0,0,0,0,0,0,0,0,0,0,0,0,2
Matt Forte,NYJ,BUF,home,30.0,0,0,0,0,0,0,30,100,3,0,2,9,0,0,0,0,2
Derek Carr,OAK,@ATL,away,30.0,45,34,299,3,0,0,2,10,0,0,0,0,0,0,0,0,2
Tyrod Taylor,BUF,@NYJ,away,29.0,30,18,297,3,1,0,2,25,0,0,0,0,0,0,0,0,2
Travis Benjamin,SD,@JAX,away,29.0,0,0,0,0,0,0,1,-1,0,0,6,115,2,0,0,0,2
Kelvin Benjamin,CAR,@SF,away,29.0,0,0,0,0,0,0,0,0,0,0,7,108,2,0,0,0,2
Jimmy Garoppolo,NE,@MIA,away,27.0,26,18,232,3,0,0,0,0,0,0,0,0,0,0,0,0,2
Corey Coleman,CLE,@BAL,away,27.0,0,0,0,0,0,0,0,0,0,0,5,104,2,0,0,0,2
Ryan Tannehill,MIA,NE,home,26.0,45,32,387,2,2,0,6,35,0,0,0,0,0,0,0,0,2
Ben Roethlisberger,PIT,@CIN,away,25.0,37,19,259,3,2,0,1,14,0,0,0,0,0,0,0,0,2
Giovani Bernard,CIN,PIT,home,25.0,0,0,0,0,0,0,5,17,0,0,9,100,1,0,1,0,2
DeAndre Hopkins,HOU,@KC,away,24.0,0,0,0,0,0,0,0,0,0,0,7,113,1,0,0,0,2
Blaine Gabbert,SF,CAR,home,24.0,36,17,243,2,2,0,3,10,1,0,0,0,0,0,0,0,2
Eric Decker,NYJ,BUF,home,24.0,0,0,0,0,0,0,0,0,0,0,6,126,1,0,0,0,2
Greg Olsen,CAR,@SF,away,23.0,0,0,0,0,0,0,0,0,0,0,5,122,1,0,0,0,2
Sam Bradford,MIN,@GB,away,23.0,31,22,286,2,0,0,1,-3,0,0,0,0,0,0,0,0,2
Blake Bortles,JAX,SD,home,23.0,50,31,329,2,2,0,3,34,0,0,0,0,0,0,1,0,2
DeAngelo Williams,PIT,@CIN,away,22.0,0,0,0,0,0,0,32,94,0,0,4,38,1,0,0,0,2
Jarvis Landry,MIA,NE,home,22.0,0,0,0,0,0,0,0,0,0,0,10,135,0,0,1,0,2
Ryan Fitzpatrick,NYJ,BUF,home,22.0,34,24,374,1,0,0,5,21,0,0,0,0,0,0,0,0,2
Martellus Bennett,NE,@MIA,away,22.0,0,0,0,0,0,0,0,0,0,0,5,114,1,0,0,0,2
Latavius Murray,OAK,@ATL,away,21.0,0,0,0,0,0,0,8,57,1,0,6,44,0,0,0,0,2
Julio Jones,ATL,OAK,home,21.0,0,0,0,0,0,0,0,0,0,0,5,106,1,0,0,0,2
