Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Davante Adams,GB,@CHI,away,38.0,0,0,0,0,0,0,0,0,0,0,13,132,2,0,0,0,7
Melvin Gordon,SD,ATL,home,35.0,0,0,0,0,0,0,22,68,2,0,6,53,1,0,0,0,7
Andrew Luck,IND,TEN,home,33.0,39,27,353,3,0,0,5,17,0,0,0,0,0,0,0,0,7
Aaron Rodgers,GB,@CHI,away,30.0,56,39,326,3,0,0,2,7,0,0,0,0,0,0,1,0,7
AJ Green,CIN,@CLE,away,30.0,0,0,0,0,0,0,0,0,0,0,8,169,1,0,0,0,7
Matt Forte,NYJ,@BAL,away,30.0,0,0,0,0,0,0,30,100,1,0,4,54,1,0,1,0,7
Drew Brees,NO,KC,home,30.0,48,37,367,3,1,0,0,0,0,0,0,0,0,0,0,0,7
Mike Evans,TB,SF,home,29.0,0,0,0,0,0,0,0,0,0,0,8,96,2,0,0,0,7
Randall Cobb,GB,@CHI,away,28.0,0,0,0,0,0,0,5,21,0,0,11,95,1,0,0,0,7
Jay Ajayi,MIA,@BUF,away,28.0,0,0,0,0,0,0,28,214,1,0,1,2,0,0,0,0,7
Jameis Winston,TB,SF,home,26.0,30,21,269,3,1,0,1,-1,0,0,0,0,0,0,0,0,7
Julio Jones,ATL,@SD,away,26.0,0,0,0,0,0,0,0,0,0,0,9,174,0,0,0,0,7
TY Hilton,IND,TEN,home,26.0,0,0,0,0,0,0,0,0,0,0,7,133,1,0,0,0,7
Jeremy Hill,CIN,@CLE,away,26.0,0,0,0,0,0,0,9,168,1,0,2,24,0,0,0,0,7
Tyrod Taylor,BUF,MIA,home,25.0,28,14,221,1,0,1,7,35,1,0,0,0,0,0,0,0,7
LeGarrette Blount,NE,PIT,home,25.0,0,0,0,0,0,0,24,127,2,0,1,7,0,0,0,0,7
David Johnson,ARI,@SEA,away,24.0,0,0,0,0,0,0,33,113,0,0,8,58,0,0,0,0,7
Andy Dalton,CIN,@CLE,away,24.0,28,19,308,2,0,0,0,0,0,0,0,0,0,0,0,0,7
Kirk Cousins,WAS,DET,home,24.0,39,30,301,1,0,0,3,15,1,0,0,0,0,0,1,0,7
Le'Veon Bell,PIT,@NE,away,24.0,0,0,0,0,0,0,21,81,0,0,10,68,0,0,0,0,7
Michael Thomas,NO,KC,home,23.0,0,0,0,0,0,0,0,0,0,0,10,130,0,0,0,0,7
Michael Crabtree,OAK,JAX,home,23.0,0,0,0,0,0,0,0,0,0,0,8,96,1,0,0,0,7
Mike Wallace,BAL,NYJ,home,22.0,0,0,0,0,0,0,0,0,0,0,10,120,0,0,0,0,7
Ty Montgomery,GB,@CHI,away,22.0,0,0,0,0,0,0,9,60,0,0,10,66,0,0,0,0,7
Jack Doyle,IND,TEN,home,22.0,0,0,0,0,0,0,0,0,0,0,9,78,1,0,0,0,7
Tavon Austin,LA,@NYG,away,22.0,0,0,0,0,0,0,1,10,0,0,10,57,1,0,0,0,7
Tyrell Williams,SD,ATL,home,21.0,0,0,0,0,0,0,0,0,0,0,7,140,0,0,0,0,7
Delanie Walker,TEN,@IND,away,21.0,0,0,0,0,0,0,0,0,0,0,7,84,1,0,0,0,7
Kenny Stills,MIA,@BUF,away,21.0,0,0,0,0,0,0,0,0,0,0,5,100,1,0,0,0,7
DeMarco Murray,TEN,@IND,away,21.0,0,0,0,0,0,0,25,107,1,0,3,20,0,0,0,0,7
Marcus Mariota,TEN,@IND,away,21.0,37,22,232,2,0,0,2,14,0,0,0,0,0,0,1,0,7
Tom Brady,NE,PIT,home,21.0,26,19,222,2,0,0,5,13,0,0,0,0,0,0,0,0,7
Spencer Ware,KC,@NO,away,20.0,0,0,0,0,0,0,17,77,0,0,2,54,1,0,0,0,7
Alex Smith,KC,@NO,away,20.0,24,17,214,2,0,0,4,7,0,0,0,0,0,0,0,0,7
Matthew Stafford,DET,@WAS,away,19.0,29,18,266,1,0,0,2,32,0,0,0,0,0,0,0,0,7
Cordarrelle Patterson,MIN,PHI,home,19.0,0,0,0,0,0,0,0,0,0,0,7,67,1,0,0,0,7
Latavius Murray,OAK,JAX,home,19.0,0,0,0,0,0,0,18,59,2,0,2,4,0,0,0,0,7
Rob Gronkowski,NE,PIT,home,19.0,0,0,0,0,0,0,0,0,0,0,4,93,1,0,0,0,7
Frank Gore,IND,TEN,home,19.0,0,0,0,0,0,0,17,61,0,0,5,22,1,0,0,0,7
Marquise Goodwin,BUF,MIA,home,19.0,0,0,0,0,0,0,0,0,0,0,4,93,1,0,0,0,7
Chris Thompson,WAS,DET,home,18.0,0,0,0,0,0,0,12,73,0,0,7,40,0,0,0,0,7
Ryan Tannehill,MIA,@BUF,away,18.0,25,15,204,1,0,1,6,21,0,0,0,0,0,0,0,0,7
Russell Shepard,TB,SF,home,18.0,0,0,0,0,0,0,0,0,0,0,5,77,1,0,0,0,7
Brandon LaFell,CIN,@CLE,away,18.0,0,0,0,0,0,0,0,0,0,0,4,83,1,0,0,0,7
Brandin Cooks,NO,KC,home,18.0,0,0,0,0,0,0,0,0,0,0,7,58,1,0,0,0,7
Antonio Brown,PIT,@NE,away,18.0,0,0,0,0,0,0,1,13,0,0,7,106,0,0,0,0,7
Willie Snead,NO,KC,home,17.0,0,0,0,0,0,0,0,0,0,0,9,87,0,0,0,0,7
Philip Rivers,SD,ATL,home,17.0,44,27,371,1,1,0,1,-2,0,0,0,0,0,0,1,0,7
Marqise Lee,JAX,@OAK,away,17.0,0,0,0,0,0,0,0,0,0,0,7,107,0,0,0,0,7
Mark Ingram,NO,KC,home,17.0,0,0,0,0,0,0,16,62,0,0,4,20,1,0,1,0,7
Jamison Crowder,WAS,DET,home,17.0,0,0,0,0,0,0,0,0,0,0,7,108,0,0,0,0,7
Demaryius Thomas,DEN,@HOU,away,16.0,0,0,0,0,0,0,0,0,0,0,6,40,1,0,0,0,7
Jacquizz Rodgers,TB,SF,home,16.0,0,0,0,0,0,0,26,154,0,0,1,9,0,0,0,0,7
Colin Kaepernick,SF,@TB,away,16.0,34,16,143,1,1,0,9,84,0,0,0,0,0,0,1,0,7
Kevin Hogan,CLE,CIN,home,16.0,24,12,100,0,2,0,7,104,1,0,0,0,0,0,0,0,7
Larry Fitzgerald,ARI,@SEA,away,16.0,0,0,0,0,0,0,0,0,0,0,9,70,0,0,0,0,7
Isaiah Crowell,CLE,CIN,home,16.0,0,0,0,0,0,0,12,63,1,0,3,16,0,0,0,0,7
CJ Anderson,DEN,@HOU,away,16.0,0,0,0,0,0,0,16,107,1,0,0,0,0,0,0,0,7
Golden Tate,DET,@WAS,away,15.0,0,0,0,0,0,0,0,0,0,0,6,93,0,0,0,0,7
Landry Jones,PIT,@NE,away,15.0,47,29,281,1,1,0,0,0,0,0,0,0,0,0,0,0,7
Quincy Enunwa,NYJ,@BAL,away,15.0,0,0,0,0,0,0,0,0,0,0,2,73,1,0,0,0,7
Shaun Draughn,SF,@TB,away,15.0,0,0,0,0,0,0,1,16,0,0,5,37,1,0,0,0,7
Devontae Booker,DEN,@HOU,away,15.0,0,0,0,0,0,0,17,83,1,0,1,4,0,0,0,0,7
Giovani Bernard,CIN,@CLE,away,15.0,0,0,0,0,0,0,17,80,1,0,1,7,0,0,0,0,7
Matt Ryan,ATL,@SD,away,14.0,34,22,273,1,1,0,3,8,0,0,0,0,0,0,0,0,7
Jarvis Landry,MIA,@BUF,away,14.0,0,0,0,0,0,0,0,0,0,0,5,78,0,1,0,0,7
Todd Gurley,LA,@NYG,away,14.0,0,0,0,0,0,0,15,57,0,0,6,35,0,0,0,0,7
Devonta Freeman,ATL,@SD,away,14.0,0,0,0,0,0,0,15,58,0,0,5,42,0,0,0,0,7
Julian Edelman,NE,PIT,home,14.0,0,0,0,0,0,0,0,0,0,0,9,60,0,0,1,0,7
Tevin Coleman,ATL,@SD,away,14.0,0,0,0,0,0,0,8,64,1,0,1,10,0,0,0,0,7
Derek Carr,OAK,JAX,home,14.0,37,23,200,1,0,0,4,4,0,0,0,0,0,0,0,0,7
Blake Bortles,JAX,@OAK,away,14.0,43,23,246,1,2,0,5,33,0,0,0,0,0,0,0,0,7
Peyton Barber,TB,SF,home,14.0,0,0,0,0,0,0,12,84,1,0,0,0,0,0,0,0,7
Brian Quick,LA,@NYG,away,13.0,0,0,0,0,0,0,0,0,0,0,4,92,0,0,0,0,7
Carson Palmer,ARI,@SEA,away,13.0,49,29,342,0,0,0,1,8,0,0,0,0,0,0,0,0,7
