Player,Team,Opponent,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
LeSean McCoy,BUF,BAL,1200,0,0,0,0,0,0,16,58,1,0,4,12,0,0,0,0,1
Jeremy Maclin,KC,@SD,1200,0,0,0,0,0,0,1,-1,0,0,5,63,1,0,0,0,1
Julio Jones,ATL,@TB,1200,0,0,0,0,0,0,0,0,0,0,4,66,1,0,0,0,1
Chris Hogan,NE,ARI,1200,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0,1
LeGarrette Blount,NE,ARI,1200,0,0,0,0,0,0,22,70,1,0,0,0,0,0,1,0,1
Trevor Siemian,DEN,@CAR,1100,26,18,178,1,2,0,5,20,0,0,0,0,0,0,0,0,1
Eddie Royal,CHI,HOU,1100,0,0,0,0,0,0,0,0,0,0,4,57,1,0,0,0,1
Eli Rogers,PIT,WAS,1100,0,0,0,0,0,0,0,0,0,0,6,59,1,0,0,0,1
Lamar Miller,HOU,@CHI,1100,0,0,0,0,0,0,28,106,0,0,4,11,0,0,0,0,1
Jeremy Langford,CHI,HOU,1100,0,0,0,0,0,0,17,57,1,0,2,6,0,0,0,0,1
DeAndre Hopkins,HOU,@CHI,1100,0,0,0,0,0,0,0,0,0,0,5,54,1,0,0,0,1
Quincy Enunwa,NYJ,@CIN,1100,0,0,0,0,0,0,0,0,0,0,7,54,1,0,0,0,1
Ezekiel Elliott,DAL,@NYG,1100,0,0,0,0,0,0,20,51,1,0,1,1,0,0,0,0,1
Tevin Coleman,ATL,@TB,1100,0,0,0,0,0,0,8,22,0,0,5,95,0,0,0,0,1
Nelson Agholor,PHI,@CLE,1100,0,0,0,0,0,0,0,0,0,0,4,57,1,0,0,0,1
Davante Adams,GB,JAX,1100,0,0,0,0,0,0,0,0,0,0,3,50,1,0,0,0,1
Sterling Shepard,NYG,DAL,1000,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0,1
Dak Prescott,DAL,@NYG,1000,45,25,227,0,0,0,2,12,0,0,0,0,0,0,0,0,1
Alshon Jeffery,CHI,HOU,1000,0,0,0,0,0,0,0,0,0,0,4,105,0,0,0,0,1
DeSean Jackson,WAS,@PIT,1000,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,0,1
Eric Ebron,DET,IND,1000,0,0,0,0,0,0,0,0,0,0,5,46,1,0,0,0,1
Stefon Diggs,MIN,TEN,1000,0,0,0,0,0,0,1,-1,0,0,7,103,0,0,0,0,1
Michael Crabtree,OAK,NO,1000,0,0,0,0,0,0,0,0,0,0,7,87,0,1,0,0,1
Chris Thompson,WAS,@PIT,900,0,0,0,0,0,0,4,23,1,0,2,16,0,0,0,0,1
Charles Sims,TB,ATL,900,0,0,0,0,0,0,4,9,0,0,3,32,1,0,0,0,1
Austin Seferian-Jenkins,TB,ATL,900,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,1
Jordy Nelson,GB,JAX,900,0,0,0,0,0,0,0,0,0,0,6,32,1,0,0,0,1
Doug Martin,TB,ATL,900,0,0,0,0,0,0,18,62,0,0,5,34,0,0,0,0,1
Brandon LaFell,CIN,NYJ,900,0,0,0,0,0,0,0,0,0,0,4,91,0,0,0,0,1
Shaun Hill,MIN,TEN,900,33,18,236,0,0,0,2,8,0,0,0,0,0,0,0,0,1
Jeremy Hill,CIN,NYJ,900,0,0,0,0,0,0,9,31,1,0,0,0,0,0,0,0,1
Arian Foster,MIA,SEA,900,0,0,0,0,0,0,13,38,0,0,3,62,0,0,0,0,1
Phillip Dorsett,IND,@DET,900,0,0,0,0,0,0,0,0,0,0,4,94,0,0,0,0,1
Eric Decker,NYJ,@CIN,900,0,0,0,0,0,0,0,0,0,0,2,37,1,0,0,0,1
Victor Cruz,NYG,DAL,900,0,0,0,0,0,0,0,0,0,0,4,34,1,0,0,0,1
Kirk Cousins,WAS,@PIT,900,43,30,329,0,2,0,1,8,0,0,0,0,0,0,0,0,1
Marvin Jones,DET,IND,800,0,0,0,0,0,0,0,0,0,0,4,85,0,0,0,0,1
Andy Janovich,DEN,@CAR,800,0,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,1
Robert Griffin III,CLE,PHI,800,26,12,190,0,1,0,5,37,0,0,0,0,0,0,0,0,1
Tyrell Williams,SD,KC,700,0,0,0,0,0,0,0,0,0,0,2,71,0,0,0,0,1
Tajae Sharpe,TEN,@MIN,700,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0,1
Allen Robinson,JAX,@GB,700,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,1
