Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Mike Evans,TB,@ATL,away,38.0,0,0,0,0,0,0,0,0,0,0,11,150,2,0,0,0,9
Matt Ryan,ATL,TB,home,36.0,34,25,344,4,0,0,2,0,0,0,0,0,0,0,1,0,9
Melvin Gordon,SD,@TEN,away,35.0,0,0,0,0,0,0,32,196,1,0,4,65,0,0,0,0,9
Marcus Mariota,TEN,SD,home,32.0,43,27,313,3,2,0,3,14,1,0,0,0,0,0,1,0,9
Aaron Rodgers,GB,@IND,away,31.0,43,26,297,3,1,0,6,43,0,0,0,0,0,0,0,0,9
Latavius Murray,OAK,@DEN,away,31.0,0,0,0,0,0,0,20,114,3,0,1,13,0,0,0,0,9
Russell Wilson,SEA,@BUF,away,30.0,26,20,282,2,0,0,3,10,1,0,0,0,0,0,0,0,9
Eli Manning,NYG,@PHI,away,30.0,36,22,257,4,2,0,2,-4,0,0,0,0,0,0,0,0,9
Mark Ingram,NO,SF,home,30.0,0,0,0,0,0,0,15,158,1,0,2,13,1,0,0,0,9
Jimmy Graham,SEA,@BUF,away,30.0,0,0,0,0,0,0,0,0,0,0,8,103,2,0,0,0,9
Drew Brees,NO,SF,home,30.0,39,28,323,3,0,0,2,-2,0,0,0,0,0,0,0,0,9
Dak Prescott,DAL,CLE,home,29.0,27,21,247,3,0,0,4,20,0,0,0,0,0,0,0,0,9
Jameis Winston,TB,@ATL,away,28.0,37,23,261,3,0,0,3,11,0,0,0,0,0,0,1,0,9
Jason Witten,DAL,CLE,home,27.0,0,0,0,0,0,0,0,0,0,0,8,134,1,0,0,0,9
Tyrod Taylor,BUF,SEA,home,27.0,38,27,289,1,1,0,8,43,1,1,0,0,0,0,0,0,9
Robert Woods,BUF,SEA,home,26.0,0,0,0,0,0,0,0,0,0,0,10,162,0,0,0,0,9
Colin Kaepernick,SF,@NO,away,26.0,39,24,398,2,1,0,5,23,0,0,0,0,0,0,1,0,9
Julio Jones,ATL,TB,home,25.0,0,0,0,0,0,0,0,0,0,0,8,111,1,0,0,0,9
Blake Bortles,JAX,KC,home,25.0,41,22,252,2,1,0,6,54,0,0,0,0,0,0,0,0,9
Michael Thomas,NO,SF,home,24.0,0,0,0,0,0,0,0,0,0,0,5,73,2,0,0,0,9
Golden Tate,DET,MIN,home,24.0,0,0,0,0,0,0,1,1,0,0,11,79,1,0,0,0,9
Rishard Matthews,TEN,SD,home,24.0,0,0,0,0,0,0,0,0,0,0,6,63,2,0,0,0,9
Philip Rivers,SD,@TEN,away,23.0,33,24,275,2,0,0,3,-3,0,0,0,0,0,0,0,0,9
DuJuan Harris,SF,@NO,away,23.0,0,0,0,0,0,0,10,59,0,0,5,83,1,0,1,0,9
Mike Wallace,BAL,@PIT,away,22.0,0,0,0,0,0,0,0,0,0,0,4,124,1,0,0,0,9
Jordy Nelson,GB,@IND,away,22.0,0,0,0,0,0,0,0,0,0,0,7,94,1,0,0,0,9
Ezekiel Elliott,DAL,CLE,home,22.0,0,0,0,0,0,0,18,92,2,0,1,5,0,0,0,0,9
Stefon Diggs,MIN,@DET,away,22.0,0,0,0,0,0,0,1,12,0,0,13,80,0,0,0,0,9
Frank Gore,IND,GB,home,21.0,0,0,0,0,0,0,19,60,2,0,2,11,0,0,0,0,9
Antonio Brown,PIT,BAL,home,21.0,0,0,0,0,0,0,0,0,0,0,7,85,1,0,0,0,9
Jay Ajayi,MIA,@NYJ,away,21.0,0,0,0,0,0,0,24,111,1,0,3,19,0,0,0,0,9
Trevor Siemian,DEN,OAK,home,20.0,37,18,283,2,1,0,0,0,0,0,0,0,0,0,1,0,9
Ben Roethlisberger,PIT,BAL,home,20.0,45,23,264,1,1,0,3,3,1,0,0,0,0,0,0,0,9
Allen Robinson,JAX,KC,home,20.0,0,0,0,0,0,0,0,0,0,0,7,76,1,0,0,0,9
DeMarco Murray,TEN,SD,home,20.0,0,0,0,0,0,0,14,51,1,0,7,29,0,0,0,0,9
Odell Beckham Jr,NYG,@PHI,away,20.0,0,0,0,0,0,0,0,0,0,0,4,46,2,0,0,0,9
