Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Julio Jones,ATL,@CAR,away,48.0,0,0,0,0,0,0,0,0,0,0,12,300,1,0,0,0,4
Ben Roethlisberger,PIT,@KC,away,44.0,27,22,300,5,0,1,1,-1,0,0,0,0,0,0,0,0,4
Matt Ryan,ATL,@CAR,away,43.0,37,28,503,4,1,0,4,14,0,0,0,0,0,0,0,0,4
AJ Green,CIN,@MIA,away,33.0,0,0,0,0,0,0,0,0,0,0,10,173,1,0,0,0,4
Michael Crabtree,OAK,BAL,home,33.0,0,0,0,0,0,0,0,0,0,0,7,88,3,0,0,0,4
Derek Carr,OAK,BAL,home,31.0,35,25,199,4,0,0,3,-2,0,0,0,0,0,0,0,0,4
Russell Wilson,SEA,NYJ,home,30.0,32,23,309,3,0,0,5,-5,0,0,0,0,0,0,0,0,4
Blake Bortles,JAX,@IND,away,29.0,33,19,207,2,0,0,7,36,1,0,0,0,0,0,0,0,4
Jordan Reed,WAS,@CLE,away,28.0,0,0,0,0,0,0,0,0,0,0,9,73,2,0,0,0,4
Steve Smith,BAL,@OAK,away,25.0,0,0,0,0,0,0,0,0,0,0,8,111,1,0,0,0,4
DeMarco Murray,TEN,HOU,home,25.0,0,0,0,0,0,0,25,95,2,0,2,24,0,0,0,0,4
Dontrelle Inman,SD,@NO,away,25.0,0,0,0,0,0,0,0,0,0,0,7,120,1,0,0,0,4
Eddie Royal,CHI,@DET,away,24.0,0,0,0,0,0,0,0,0,0,0,7,111,1,0,0,0,4
Brian Hoyer,CHI,@DET,away,24.0,36,28,302,2,0,0,3,-3,0,0,0,0,0,0,0,0,4
Melvin Gordon,SD,@NO,away,24.0,0,0,0,0,0,0,19,36,2,0,6,43,0,0,1,0,4
Joe Flacco,BAL,@OAK,away,24.0,52,32,298,1,0,1,1,1,1,0,0,0,0,0,1,0,4
John Brown,ARI,@LA,away,24.0,0,0,0,0,0,0,0,0,0,0,10,144,0,0,0,0,4
Isaiah Crowell,CLE,WAS,home,23.0,0,0,0,0,0,0,16,120,1,0,3,22,0,0,0,0,4
Kirk Cousins,WAS,@CLE,away,23.0,27,21,183,3,1,0,0,0,0,0,0,0,0,0,0,0,4
Emmanuel Sanders,DEN,TB,home,22.0,0,0,0,0,0,0,0,0,0,0,8,88,1,0,0,0,4
Philip Rivers,SD,@NO,away,22.0,43,28,321,2,1,0,1,0,0,0,0,0,0,0,0,0,4
LeSean McCoy,BUF,NE,home,22.0,0,0,0,0,0,0,19,70,0,0,6,38,1,0,0,0,4
Case Keenum,LA,ARI,home,22.0,30,18,266,2,0,0,3,14,0,0,0,0,0,0,1,0,4
Antonio Brown,PIT,@KC,away,22.0,0,0,0,0,0,0,0,0,0,0,4,64,2,0,0,0,4
Le'Veon Bell,PIT,@KC,away,22.0,0,0,0,0,0,0,18,144,0,0,5,34,0,0,0,0,4
Demaryius Thomas,DEN,TB,home,21.0,0,0,0,0,0,0,0,0,0,0,6,94,1,0,0,0,4
Alex Smith,KC,PIT,home,21.0,50,30,287,2,1,0,1,2,0,0,0,0,0,0,0,0,4
Dak Prescott,DAL,SF,home,21.0,32,23,245,2,0,0,5,3,0,0,0,0,0,0,0,0,4
Greg Olsen,CAR,ATL,home,21.0,0,0,0,0,0,0,0,0,0,0,6,76,1,1,0,0,4
Andrew Luck,IND,JAX,home,21.0,42,27,234,2,1,0,4,23,0,0,0,0,0,0,0,0,4
Matt Jones,WAS,@CLE,away,21.0,0,0,0,0,0,0,22,117,1,0,2,21,0,0,0,0,4
Mark Ingram,NO,SD,home,21.0,0,0,0,0,0,0,18,56,1,0,6,49,0,0,0,0,4
Will Fuller,HOU,@TEN,away,21.0,0,0,0,0,0,0,0,0,0,0,7,81,1,0,0,0,4
Ezekiel Elliott,DAL,SF,home,21.0,0,0,0,0,0,0,23,138,1,0,1,19,0,0,0,0,4
Brian Quick,LA,ARI,home,20.0,0,0,0,0,0,0,0,0,0,0,2,69,2,0,0,0,4
John Kuhn,NO,SD,home,20.0,0,0,0,0,0,0,3,5,2,0,2,7,1,0,0,0,4
Jeremy Kerley,SF,@DAL,away,20.0,0,0,0,0,0,0,0,0,0,0,6,88,1,0,0,0,4
Brock Osweiler,HOU,@TEN,away,19.0,37,25,254,2,2,0,1,14,0,0,0,0,0,0,0,0,4
Christine Michael,SEA,NYJ,home,19.0,0,0,0,0,0,0,18,58,0,0,5,32,1,0,0,0,4
Frank Gore,IND,JAX,home,19.0,0,0,0,0,0,0,16,68,1,0,5,27,0,0,0,0,4
Jerick McKinnon,MIN,@NYG,away,18.0,0,0,0,0,0,0,18,85,1,0,3,10,0,0,0,0,4
Brandon Marshall,NYJ,@SEA,away,18.0,0,0,0,0,0,0,0,0,0,0,4,89,1,0,0,0,4
Fozzy Whittaker,CAR,ATL,home,17.0,0,0,0,0,0,0,3,6,0,0,9,86,0,0,0,0,4
Terrance West,BAL,@OAK,away,17.0,0,0,0,0,0,0,21,113,1,0,0,0,0,0,0,0,4
Tyrod Taylor,BUF,NE,home,17.0,39,27,246,1,0,0,5,28,0,0,0,0,0,0,0,0,4
Cam Newton,CAR,ATL,home,17.0,25,14,165,1,0,0,5,30,0,1,0,0,0,0,0,0,4
TY Hilton,IND,JAX,home,17.0,0,0,0,0,0,0,0,0,0,0,7,42,1,0,0,0,4
Jimmy Graham,SEA,NYJ,home,17.0,0,0,0,0,0,0,0,0,0,0,6,113,0,0,0,0,4
Andy Dalton,CIN,@MIA,away,17.0,31,22,296,1,0,0,6,-12,0,0,0,0,0,0,0,0,4
Kyle Rudolph,MIN,@NYG,away,16.0,0,0,0,0,0,0,0,0,0,0,5,55,1,0,0,0,4
Allen Robinson,JAX,@IND,away,16.0,0,0,0,0,0,0,0,0,0,0,5,55,1,0,0,0,4
Jordan Howard,CHI,@DET,away,16.0,0,0,0,0,0,0,23,111,0,0,3,21,0,0,0,0,4
Hunter Henry,SD,@NO,away,16.0,0,0,0,0,0,0,0,0,0,0,4,61,1,0,0,0,4
Drew Brees,NO,SD,home,16.0,36,23,207,2,2,0,4,-4,0,0,0,0,0,0,0,0,4
Sam Bradford,MIN,@NYG,away,16.0,36,26,262,1,0,0,4,6,0,0,0,0,0,0,0,0,4
Derek Anderson,CAR,ATL,home,16.0,23,17,172,2,2,1,0,0,0,0,0,0,0,0,0,0,4
TJ Yeldon,JAX,@IND,away,15.0,0,0,0,0,0,0,14,71,0,0,4,46,0,0,0,0,4
Robert Woods,BUF,NE,home,15.0,0,0,0,0,0,0,0,0,0,0,7,89,0,0,0,0,4
Terrelle Pryor,CLE,WAS,home,15.0,0,0,0,0,0,0,1,-6,0,0,5,46,1,0,0,0,4
David Johnson,ARI,@LA,away,15.0,0,0,0,0,0,0,17,83,0,0,4,41,0,0,1,0,4
Brice Butler,DAL,SF,home,15.0,0,0,0,0,0,0,0,0,0,0,5,41,1,0,0,0,4
Philly Brown,CAR,ATL,home,15.0,0,0,0,0,0,0,0,0,0,0,5,48,1,0,0,0,4
Martellus Bennett,NE,@BUF,away,15.0,0,0,0,0,0,0,0,0,0,0,5,109,0,0,0,0,4
Terrance Williams,DAL,SF,home,14.0,0,0,0,0,0,0,0,0,0,0,4,44,1,0,0,0,4
Michael Thomas,NO,SD,home,14.0,0,0,0,0,0,0,0,0,0,0,4,44,1,0,0,0,4
Kenny Stills,MIA,CIN,home,14.0,0,0,0,0,0,0,0,0,0,0,1,74,1,0,0,0,4
Carson Palmer,ARI,@LA,away,14.0,36,23,288,1,1,0,0,0,0,0,0,0,0,0,1,0,4
Carlos Hyde,SF,@DAL,away,14.0,0,0,0,0,0,0,15,74,1,0,1,5,0,0,0,0,4
CJ Fiedorowicz,HOU,@TEN,away,14.0,0,0,0,0,0,0,0,0,0,0,4,48,1,0,0,0,4
Bobby Rainey,NYG,MIN,home,13.0,0,0,0,0,0,0,4,22,0,0,7,43,0,0,0,0,4
Bilal Powell,NYJ,@SEA,away,13.0,0,0,0,0,0,0,4,26,0,0,6,54,0,0,0,0,4
