Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Lamar Miller,HOU,@TEN,away,13.0,0,0,0,0,0,0,19,82,0,0,3,26,0,0,0,0,4
Jarvis Landry,MIA,CIN,home,13.0,0,0,0,0,0,0,0,0,0,0,7,61,0,0,0,0,4
Travis Kelce,KC,PIT,home,13.0,0,0,0,0,0,0,0,0,0,0,5,23,1,0,0,0,4
Tyreek Hill,KC,PIT,home,13.0,0,0,0,0,0,0,1,-2,0,0,5,24,1,0,0,0,4
Blaine Gabbert,SF,@DAL,away,13.0,23,16,196,1,1,0,12,27,0,0,0,0,0,0,0,0,4
Devonta Freeman,ATL,@CAR,away,13.0,0,0,0,0,0,0,13,57,1,0,2,7,0,0,0,0,4
Phillip Dorsett,IND,JAX,home,13.0,0,0,0,0,0,0,1,3,0,0,1,64,1,0,0,0,4
Chris Conley,KC,PIT,home,13.0,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0,4
Sammie Coates,PIT,@KC,away,13.0,0,0,0,0,0,0,1,-1,0,0,6,79,0,0,0,0,4
Markus Wheaton,PIT,@KC,away,12.0,0,0,0,0,0,0,0,0,0,0,1,30,1,1,0,0,4
Aldrick Robinson,ATL,@CAR,away,12.0,0,0,0,0,0,0,0,0,0,0,2,48,1,0,0,0,4
Charone Peake,NYJ,@SEA,away,12.0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,1,4
Zach Miller,CHI,@DET,away,12.0,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0,4
Jeremy Maclin,KC,PIT,home,12.0,0,0,0,0,0,0,0,0,0,0,5,78,0,0,0,0,4
Paxton Lynch,DEN,TB,home,12.0,24,14,170,1,0,0,3,-4,0,0,0,0,0,0,0,0,4
Cody Kessler,CLE,WAS,home,12.0,40,28,223,1,1,0,2,2,0,0,0,0,0,0,0,0,4
Marvin Jones,DET,CHI,home,12.0,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0,4
Duke Johnson,CLE,WAS,home,12.0,0,0,0,0,0,0,8,45,0,0,6,31,0,0,1,0,4
Allen Hurns,JAX,@IND,away,12.0,0,0,0,0,0,0,0,0,0,0,2,47,1,0,0,0,4
Todd Gurley,LA,ARI,home,12.0,0,0,0,0,0,0,19,33,0,0,5,49,0,0,0,0,4
Michael Floyd,ARI,@LA,away,12.0,0,0,0,0,0,0,0,0,0,0,3,36,1,0,0,0,4
Quincy Enunwa,NYJ,@SEA,away,12.0,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,0,4
Garrett Celek,SF,@DAL,away,12.0,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0,4
Kenny Britt,LA,ARI,home,12.0,0,0,0,0,0,0,0,0,0,0,4,82,0,0,0,0,4
Kelvin Benjamin,CAR,ATL,home,12.0,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0,4
Gary Barnidge,CLE,WAS,home,12.0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,0,4
Jason Witten,DAL,SF,home,11.0,0,0,0,0,0,0,0,0,0,0,7,47,0,0,0,0,4
Kevin White,CHI,@DET,away,11.0,0,0,0,0,0,0,0,0,0,0,6,55,0,0,0,0,4
James White,NE,@BUF,away,11.0,0,0,0,0,0,0,4,12,0,0,5,50,0,0,0,0,4
