Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Odell Beckham Jr,NYG,@BAL,away,41.0,0,0,0,0,0,0,0,0,0,0,8,222,2,0,1,0,6
Drew Brees,NO,@CAR,away,40.0,49,34,465,4,1,0,0,0,0,0,0,0,0,0,0,0,6
Matthew Stafford,DET,@LA,away,35.0,31,23,270,4,0,0,5,14,0,0,0,0,0,0,0,0,6
Case Keenum,LA,DET,home,34.0,32,27,321,3,1,0,3,7,1,0,0,0,0,0,0,0,6
David Johnson,ARI,@NYJ,away,34.0,0,0,0,0,0,0,22,111,3,0,3,27,0,0,0,0,6
LeSean McCoy,BUF,@SF,away,33.0,0,0,0,0,0,0,19,140,3,0,1,2,0,0,0,0,6
Marcus Mariota,TEN,@CLE,away,33.0,24,17,284,3,1,0,7,64,0,0,0,0,0,0,0,0,6
Tom Brady,NE,@CIN,away,33.0,35,29,376,3,0,0,2,2,0,0,0,0,0,0,0,0,6
Jay Ajayi,MIA,@PIT,away,33.0,0,0,0,0,0,0,25,204,2,0,1,3,0,0,0,0,6
Kenny Britt,LA,DET,home,32.0,0,0,0,0,0,0,0,0,0,0,7,136,2,0,0,0,6
Lamar Miller,HOU,@IND,away,31.0,0,0,0,0,0,0,24,149,1,0,3,29,1,0,0,0,6
Golden Tate,DET,@LA,away,30.0,0,0,0,0,0,0,1,3,0,0,8,165,1,0,0,0,6
Cam Newton,CAR,NO,home,30.0,47,27,322,2,1,1,2,1,1,0,0,0,0,0,0,0,6
Eli Manning,NYG,@BAL,away,30.0,46,32,403,3,2,0,0,0,0,0,0,0,0,0,0,0,6
Brandin Cooks,NO,@CAR,away,30.0,0,0,0,0,0,0,1,2,0,0,7,173,1,0,0,0,6
Rob Gronkowski,NE,@CIN,away,29.0,0,0,0,0,0,0,0,0,0,0,7,162,1,0,0,0,6
Matt Ryan,ATL,SEA,home,28.0,42,27,335,3,1,0,1,2,0,0,0,0,0,0,1,0,6
Terrelle Pryor,CLE,TEN,home,28.0,1,1,1,0,0,0,1,3,0,0,9,75,2,0,0,0,6
Kendall Wright,TEN,@CLE,away,27.0,0,0,0,0,0,0,0,0,0,0,8,133,1,0,0,0,6
Terrance West,BAL,NYG,home,27.0,0,0,0,0,0,0,23,87,2,0,4,36,0,0,0,0,6
Julio Jones,ATL,SEA,home,26.0,0,0,0,0,0,0,0,0,0,0,7,139,1,0,0,0,6
James White,NE,@CIN,away,25.0,0,0,0,0,0,0,7,19,0,0,8,47,2,0,0,0,6
Andrew Luck,IND,HOU,home,25.0,32,21,252,1,1,0,7,53,1,0,0,0,0,0,0,0,6
Cody Kessler,CLE,TEN,home,25.0,41,26,336,2,0,0,1,3,0,0,0,0,0,0,0,0,6
Coby Fleener,NO,@CAR,away,25.0,0,0,0,0,0,0,1,2,1,0,6,74,1,0,0,0,6
Spencer Ware,KC,OAK,home,24.0,0,0,0,0,0,0,24,131,1,0,2,32,0,0,0,0,6
Tyrod Taylor,BUF,@SF,away,24.0,25,16,179,2,0,0,8,68,0,0,0,0,0,0,1,0,6
Dak Prescott,DAL,GB,home,24.0,27,18,247,3,1,0,1,6,0,0,0,0,0,0,1,0,6
Andy Dalton,CIN,NE,home,23.0,31,21,254,1,0,0,2,17,1,0,0,0,0,0,0,0,6
Cole Beasley,DAL,GB,home,23.0,0,0,0,0,0,0,0,0,0,0,6,58,2,0,0,0,6
Christine Michael,SEA,@ATL,away,22.0,0,0,0,0,0,0,18,64,2,0,3,19,0,0,0,0,6
Cameron Meredith,CHI,@JAX,away,22.0,0,0,0,0,0,0,0,0,0,0,11,113,0,0,0,0,6
Amari Cooper,OAK,@KC,away,22.0,0,0,0,0,0,0,0,0,0,0,10,129,0,0,0,0,6
Jonathan Stewart,CAR,NO,home,20.0,0,0,0,0,0,0,19,85,2,0,0,0,0,0,0,0,6
Brock Osweiler,HOU,@IND,away,20.0,39,25,269,2,1,0,2,-4,0,0,0,0,0,0,0,0,6
Hunter Henry,SD,@DEN,away,20.0,0,0,0,0,0,0,0,0,0,0,6,83,1,0,0,0,6
CJ Fiedorowicz,HOU,@IND,away,20.0,0,0,0,0,0,0,0,0,0,0,6,85,1,0,0,0,6
Kirk Cousins,WAS,@PHI,away,20.0,34,18,263,2,1,0,2,8,0,0,0,0,0,0,0,0,6
Anquan Boldin,DET,@LA,away,20.0,0,0,0,0,0,0,0,0,0,0,8,60,1,0,0,0,6
Colin Kaepernick,SF,BUF,home,19.0,29,13,187,1,0,0,8,66,0,0,0,0,0,0,0,0,6
Matt Jones,WAS,@PHI,away,19.0,0,0,0,0,0,0,16,135,1,0,0,0,0,0,0,0,6
Michael Thomas,NO,@CAR,away,18.0,0,0,0,0,0,0,0,0,0,0,5,78,1,0,0,0,6
Ty Montgomery,GB,@DAL,away,18.0,0,0,0,0,0,0,3,6,0,0,10,98,0,0,1,0,6
Ezekiel Elliott,DAL,GB,home,18.0,0,0,0,0,0,0,28,157,0,0,2,17,0,0,0,0,6
