Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Randall Cobb,GB,@DAL,away,18.0,0,0,0,0,0,0,0,0,0,0,7,53,1,0,0,0,6
Le'Veon Bell,PIT,MIA,home,18.0,0,0,0,0,0,0,10,53,0,0,6,55,0,1,0,0,6
Torrey Smith,SF,BUF,home,16.0,0,0,0,0,0,0,0,0,0,0,3,76,1,0,0,0,6
Rishard Matthews,TEN,@CLE,away,16.0,0,0,0,0,0,0,0,0,0,0,3,70,1,0,0,0,6
Jarvis Landry,MIA,@PIT,away,16.0,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,0,6
Duke Johnson,CLE,TEN,home,16.0,0,0,0,0,0,0,4,18,1,0,4,56,0,0,0,0,6
Alshon Jeffery,CHI,@JAX,away,16.0,0,0,0,0,0,0,0,0,0,0,7,93,0,0,0,0,6
DeAndre Hopkins,HOU,@IND,away,16.0,0,0,0,0,0,0,0,0,0,0,9,71,0,0,0,0,6
Kelvin Benjamin,CAR,NO,home,16.0,0,0,0,0,0,0,0,0,0,0,8,86,0,0,0,0,6
Robert Woods,BUF,@SF,away,15.0,0,0,0,0,0,0,1,6,0,0,5,44,1,0,0,0,6
Levine Toilolo,ATL,SEA,home,15.0,0,0,0,0,0,0,0,0,0,0,3,69,1,0,0,0,6
Trevor Siemian,DEN,SD,home,15.0,50,30,230,1,0,0,1,1,0,0,0,0,0,0,0,0,6
Mohamed Sanu,ATL,SEA,home,15.0,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0,6
Greg Olsen,CAR,NO,home,15.0,0,0,0,0,0,0,0,0,0,0,6,94,0,0,0,0,6
Jack Doyle,IND,HOU,home,15.0,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0,6
LeGarrette Blount,NE,@CIN,away,15.0,0,0,0,0,0,0,13,50,1,0,2,20,0,0,0,0,6
Aaron Rodgers,GB,@DAL,away,14.0,42,31,294,1,1,0,3,7,0,0,0,0,0,0,1,0,6
Carson Palmer,ARI,@NYJ,away,14.0,34,23,213,1,0,0,3,-1,0,0,0,0,0,0,0,0,6
Lance Kendricks,LA,DET,home,14.0,0,0,0,0,0,0,0,0,0,0,5,34,1,0,0,0,6
AJ Green,CIN,NE,home,14.0,0,0,0,0,0,0,0,0,0,0,6,88,0,0,0,0,6
Jimmy Graham,SEA,@ATL,away,14.0,0,0,0,0,0,0,0,0,0,0,6,89,0,0,0,0,6
Jamison Crowder,WAS,@PHI,away,14.0,0,0,0,0,0,0,1,-9,0,0,3,52,1,0,0,0,6
Mike Wallace,BAL,NYG,home,13.0,0,0,0,0,0,0,0,0,0,0,4,97,0,0,0,0,6
Philip Rivers,SD,@DEN,away,13.0,29,18,178,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Pierre Garcon,WAS,@PHI,away,13.0,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0,6
Vernon Davis,WAS,@PHI,away,13.0,0,0,0,0,0,0,0,0,0,0,2,50,1,0,0,0,6
Blake Bortles,JAX,CHI,home,13.0,33,20,271,1,1,0,3,1,0,0,0,0,0,0,1,0,6
DeMarco Murray,TEN,@CLE,away,12.0,0,0,0,0,0,0,21,65,1,0,0,0,0,0,0,0,6
Marqise Lee,JAX,CHI,home,12.0,0,0,0,0,0,0,0,0,0,0,6,61,0,0,0,0,6
Allen Hurns,JAX,CHI,home,12.0,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0,6
Brian Hoyer,CHI,@JAX,away,12.0,49,30,302,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Darrius Heyward-Bey,PIT,MIA,home,12.0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,6
Todd Gurley,LA,DET,home,12.0,0,0,0,0,0,0,14,58,0,0,4,39,0,0,0,0,6
Mike Gillislee,BUF,@SF,away,12.0,0,0,0,0,0,0,6,61,1,0,0,0,0,0,0,0,6
Devin Funchess,CAR,NO,home,12.0,0,0,0,0,0,0,0,0,0,0,2,28,1,1,0,0,6
Joe Flacco,BAL,NYG,home,12.0,48,26,307,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Jamaal Charles,KC,OAK,home,12.0,0,0,0,0,0,0,9,33,1,0,2,14,0,0,0,0,6
Derek Carr,OAK,@KC,away,12.0,34,22,225,1,1,0,3,8,0,0,0,0,0,0,1,0,6
Giovani Bernard,CIN,NE,home,12.0,0,0,0,0,0,0,15,49,0,0,4,45,0,0,0,0,6
Arrelious Benn,JAX,CHI,home,12.0,0,0,0,0,0,0,0,0,0,0,1,51,1,0,0,0,6
Terrance Williams,DAL,GB,home,11.0,0,0,0,0,0,0,0,0,0,0,4,75,0,0,0,0,6
Ben Roethlisberger,PIT,MIA,home,11.0,34,19,189,1,2,1,0,0,0,0,0,0,0,0,0,0,6
Brian Quick,LA,DET,home,11.0,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0,6
Ricardo Louis,CLE,TEN,home,11.0,0,0,0,0,0,0,0,0,0,0,5,65,0,0,0,0,6
Chris Ivory,JAX,CHI,home,11.0,0,0,0,0,0,0,11,32,1,0,2,3,0,0,0,0,6
Jordan Howard,CHI,@JAX,away,11.0,0,0,0,0,0,0,15,34,1,0,2,6,0,0,0,0,6
Cobi Hamilton,PIT,MIA,home,11.0,0,0,0,0,0,0,0,0,0,0,2,36,1,0,0,0,6
MarQueis Gray,MIA,@PIT,away,11.0,0,0,0,0,0,0,0,0,0,0,3,81,0,0,0,0,6
Frank Gore,IND,HOU,home,11.0,0,0,0,0,0,0,22,106,0,0,1,2,0,0,0,0,6
Bennie Fowler,DEN,SD,home,11.0,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,0,6
Ed Dickson,CAR,NO,home,11.0,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0,6
Tyler Boyd,CIN,NE,home,11.0,0,0,0,0,0,0,0,0,0,0,4,79,0,0,0,0,6
Russell Wilson,SEA,@ATL,away,10.0,37,25,270,0,0,0,6,7,0,0,0,0,0,0,0,0,6
Ryan Tannehill,MIA,@PIT,away,10.0,32,24,252,0,0,0,2,3,0,0,0,0,0,0,0,0,6
Chester Rogers,IND,HOU,home,10.0,0,0,0,0,0,0,0,0,0,0,4,63,0,0,0,0,6
Jordy Nelson,GB,@DAL,away,10.0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,1,0,6
