Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Marvin Jones,DET,GB,home,38.0,0,0,0,0,0,0,0,0,0,0,6,205,2,0,0,0,3
Trevor Siemian,DEN,CIN,home,36.0,35,23,312,4,0,0,3,5,0,0,0,0,0,0,0,0,3
Aaron Rodgers,GB,@DET,away,34.0,24,15,205,4,0,0,5,22,0,0,0,0,0,0,0,0,3
Jameis Winston,TB,@LA,away,32.0,58,36,405,3,1,0,4,13,0,0,0,0,0,0,1,0,3
Matthew Stafford,DET,GB,home,32.0,41,28,385,3,1,0,2,11,0,0,0,0,0,0,0,0,3
Emmanuel Sanders,DEN,CIN,home,32.0,0,0,0,0,0,0,0,0,0,0,9,117,2,0,0,0,3
Terrelle Pryor,CLE,MIA,home,31.0,5,3,35,0,0,0,4,21,1,0,8,144,0,0,0,0,3
TY Hilton,IND,@SD,away,31.0,0,0,0,0,0,0,0,0,0,0,8,174,1,0,0,0,3
Devonta Freeman,ATL,NO,home,31.0,0,0,0,0,0,0,14,152,0,0,5,55,1,0,0,0,3
Drew Brees,NO,@ATL,away,31.0,54,36,376,3,1,0,2,9,0,0,0,0,0,0,0,0,3
Doug Baldwin,SEA,@SF,away,30.0,0,0,0,0,0,0,1,-4,0,0,8,164,1,0,0,0,3
Mike Evans,TB,@LA,away,29.0,0,0,0,0,0,0,0,0,0,0,10,132,1,0,0,0,3
Tevin Coleman,ATL,NO,home,29.0,0,0,0,0,0,0,12,42,3,0,3,47,0,0,0,0,3
Jordy Nelson,GB,@DET,away,28.0,0,0,0,0,0,0,0,0,0,0,6,101,2,0,0,0,3
Zach Miller,CHI,DAL,home,27.0,0,0,0,0,0,0,0,0,0,0,8,78,2,0,0,0,3
DeMarco Murray,TEN,@OAK,away,26.0,0,0,0,0,0,0,16,114,1,0,5,41,0,0,0,0,3
LeSean McCoy,BUF,@ARI,away,26.0,0,0,0,0,0,0,17,110,2,0,3,6,0,0,0,0,3
Jarvis Landry,MIA,@CLE,away,26.0,0,0,0,0,0,0,2,16,0,0,7,120,1,0,0,0,3
Antonio Brown,PIT,PHI,home,26.0,0,0,0,0,0,0,0,0,0,0,12,140,0,0,0,0,3
Carson Wentz,PHI,@PIT,away,25.0,31,23,301,2,0,0,1,10,0,0,0,0,0,0,0,0,3
Ryan Tannehill,MIA,@CLE,away,25.0,39,25,319,3,2,0,1,2,0,0,0,0,0,0,1,0,3
David Johnson,ARI,BUF,home,25.0,0,0,0,0,0,0,19,83,2,0,3,28,0,0,0,0,3
Carlos Hyde,SF,SEA,home,25.0,0,0,0,0,0,0,21,103,2,1,1,2,0,0,0,0,3
Darren Sproles,PHI,@PIT,away,24.0,0,0,0,0,0,0,2,-1,0,0,6,128,1,0,0,0,3
Allen Robinson,JAX,@BAL,away,24.0,0,0,0,0,0,0,0,0,0,0,7,57,2,0,0,0,3
