Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Randall Cobb,GB,@NYG,away,19.0,0,0,0,0,0,0,1,0,0,0,9,108,0,0,0,0,5
Davante Adams,GB,@NYG,away,19.0,0,0,0,0,0,0,0,0,0,0,5,85,1,0,0,0,5
Tyrod Taylor,BUF,LA,home,18.0,23,12,124,2,0,0,5,28,0,0,0,0,0,0,0,0,5
DeMarco Murray,TEN,MIA,home,18.0,0,0,0,0,0,0,27,121,0,0,5,16,0,0,0,0,5
Todd Gurley,LA,@BUF,away,18.0,0,0,0,0,0,0,23,72,1,0,3,36,0,0,1,0,5
Travis Benjamin,SD,OAK,home,18.0,0,0,0,0,0,0,0,0,0,0,7,117,0,0,0,0,5
Matt Asiata,MIN,@HOU,away,18.0,0,0,0,0,0,0,14,55,1,0,3,46,0,0,0,0,5
Delanie Walker,TEN,MIA,home,17.0,0,0,0,0,0,0,0,0,0,0,5,66,1,0,0,0,5
Jacquizz Rodgers,TB,CAR,home,17.0,0,0,0,0,0,0,30,101,0,0,5,28,0,0,0,0,5
LeSean McCoy,BUF,LA,home,17.0,0,0,0,0,0,0,18,150,0,0,2,8,0,0,0,0,5
Ryan Mathews,PHI,DET,home,17.0,0,0,0,0,0,0,11,42,0,0,5,33,1,0,1,0,5
Dwayne Allen,IND,@CHI,away,17.0,0,0,0,0,0,0,0,0,0,0,6,50,1,0,0,0,5
Jameis Winston,TB,CAR,home,16.0,30,18,219,1,0,1,4,6,0,0,0,0,0,0,0,0,5
Drew Stanton,ARI,SF,home,16.0,28,11,124,2,0,0,2,-2,0,0,0,0,0,0,0,0,5
Matt Ryan,ATL,DEN,home,16.0,28,15,267,1,0,0,3,3,0,0,0,0,0,0,0,0,5
Jesse James,PIT,@NYJ,away,16.0,0,0,0,0,0,0,0,0,0,0,6,43,1,0,0,0,5
DeAndre Hopkins,HOU,MIN,home,16.0,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0,5
Hunter Henry,SD,OAK,home,16.0,0,0,0,0,0,0,0,0,0,0,3,74,1,0,0,0,5
Pierre Garcon,WAS,BAL,home,16.0,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0,5
Ryan Fitzpatrick,NYJ,PIT,home,16.0,38,25,255,1,0,0,1,9,0,0,0,0,0,0,0,0,5
Odell Beckham Jr,NYG,GB,home,16.0,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0,5
Demaryius Thomas,DEN,@ATL,away,15.0,0,0,0,0,0,0,0,0,0,0,5,49,1,0,0,0,5
Emmanuel Sanders,DEN,@ATL,away,15.0,0,0,0,0,0,0,0,0,0,0,7,80,0,0,0,0,5
Jalen Richard,OAK,@SD,away,15.0,0,0,0,0,0,0,8,31,0,0,6,66,0,0,0,0,5
Chris Hogan,NE,CLE,home,15.0,0,0,0,0,0,0,1,2,0,0,4,114,0,0,0,0,5
Andrew Hawkins,CLE,@NE,away,15.0,0,0,0,0,0,0,0,0,0,0,4,56,1,0,0,0,5
Rob Gronkowski,NE,CLE,home,15.0,0,0,0,0,0,0,0,0,0,0,5,109,0,0,0,0,5
Giovani Bernard,CIN,DAL,home,15.0,0,0,0,0,0,0,9,50,0,0,6,46,0,0,0,0,5
Cole Beasley,DAL,@CIN,away,15.0,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0,5
Zach Miller,CHI,IND,home,14.0,0,0,0,0,0,0,0,0,0,0,7,73,0,0,0,0,5
Joe Flacco,BAL,@WAS,away,14.0,46,30,210,1,0,0,1,6,0,0,0,0,0,0,0,0,5
Kirk Cousins,WAS,BAL,home,14.0,41,29,260,1,1,0,1,-1,0,0,0,0,0,0,0,0,5
Tavon Austin,LA,@BUF,away,14.0,0,0,0,0,0,0,3,26,0,0,7,59,0,0,0,0,5
Mike Wallace,BAL,@WAS,away,13.0,0,0,0,0,0,0,0,0,0,0,7,63,0,0,0,0,5
Jordan Reed,WAS,BAL,home,13.0,0,0,0,0,0,0,0,0,0,0,8,53,0,0,0,0,5
Bobby Rainey,NYG,GB,home,13.0,0,0,0,0,0,0,5,22,0,0,6,52,0,0,0,0,5
Cordarrelle Patterson,MIN,@HOU,away,13.0,0,0,0,0,0,0,1,7,0,0,4,39,1,0,0,0,5
Jordy Nelson,GB,@NYG,away,13.0,0,0,0,0,0,0,0,0,0,0,4,38,1,0,0,0,5
Rishard Matthews,TEN,MIA,home,13.0,0,0,0,0,0,0,0,0,0,0,4,32,1,0,0,0,5
Paxton Lynch,DEN,@ATL,away,13.0,35,23,223,1,1,0,6,18,0,0,0,0,0,0,0,0,5
Marvin Jones,DET,@PHI,away,13.0,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0,5
Melvin Gordon,SD,OAK,home,13.0,0,0,0,0,0,0,16,69,0,0,1,18,1,0,1,0,5
Michael Crabtree,OAK,@SD,away,13.0,0,0,0,0,0,0,0,0,0,0,3,47,1,0,0,0,5
Terrance Williams,DAL,@CIN,away,12.0,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0,5
James White,NE,CLE,home,12.0,0,0,0,0,0,0,5,26,0,0,4,63,0,0,0,0,5
Dennis Pitta,BAL,@WAS,away,12.0,0,0,0,0,0,0,0,0,0,0,7,59,0,0,0,0,5
Eli Manning,NYG,GB,home,12.0,35,18,199,1,0,0,1,1,0,0,0,0,0,0,1,0,5
Alshon Jeffery,CHI,IND,home,12.0,0,0,0,0,0,0,0,0,0,0,5,77,0,0,0,0,5
Crockett Gillmore,BAL,@WAS,away,12.0,0,0,0,0,0,0,0,0,0,0,4,28,1,0,0,0,5
Antonio Gates,SD,OAK,home,12.0,0,0,0,0,0,0,0,0,0,0,4,30,1,0,1,0,5
Charles Clay,BUF,LA,home,12.0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0,5
Kenny Britt,LA,@BUF,away,12.0,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0,5
Kelvin Benjamin,CAR,@TB,away,12.0,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0,5
Gary Barnidge,CLE,@NE,away,12.0,0,0,0,0,0,0,0,0,0,0,5,76,0,0,0,0,5
Charlie Whitehurst,CLE,@NE,away,11.0,24,14,182,1,1,0,2,1,0,0,0,0,0,0,0,0,5
Terrance West,BAL,@WAS,away,11.0,0,0,0,0,0,0,11,95,0,0,2,-6,0,0,0,0,5
Eddie Royal,CHI,IND,home,11.0,0,0,0,0,0,0,0,0,0,0,7,43,0,0,0,0,5
Bilal Powell,NYJ,PIT,home,11.0,0,0,0,0,0,0,4,10,0,0,6,41,0,0,0,0,5
Brock Osweiler,HOU,MIN,home,11.0,42,19,184,1,1,0,0,0,0,0,0,0,0,0,0,0,5
Darren Sproles,PHI,DET,home,10.0,0,0,0,0,0,0,5,45,0,0,4,23,0,0,0,0,5
Jordan Matthews,PHI,DET,home,10.0,0,0,0,0,0,0,0,0,0,0,4,65,0,0,0,0,5
Josh Huff,PHI,DET,home,10.0,0,0,0,0,0,0,2,10,0,0,3,5,1,0,0,0,5
CJ Fiedorowicz,HOU,MIN,home,10.0,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0,5
