Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Ben Roethlisberger,PIT,@NYJ,away,38.0,47,34,380,4,0,0,0,0,0,0,0,0,0,0,1,0,5
Marcus Mariota,TEN,MIA,home,36.0,29,20,163,3,0,0,7,60,1,0,0,0,0,0,0,0,5
Tom Brady,NE,CLE,home,35.0,40,28,406,3,0,0,2,14,0,0,0,0,0,0,0,0,5
Philip Rivers,SD,OAK,home,34.0,30,21,359,4,2,0,0,0,0,0,0,0,0,0,0,0,5
TY Hilton,IND,@CHI,away,33.0,0,0,0,0,0,0,0,0,0,0,10,171,1,0,0,0,5
David Johnson,ARI,SF,home,32.0,0,0,0,0,0,0,27,157,2,0,3,28,0,0,0,0,5
Ezekiel Elliott,DAL,@CIN,away,31.0,0,0,0,0,0,0,15,134,2,0,3,37,0,0,0,0,5
Sammie Coates,PIT,@NYJ,away,31.0,0,0,0,0,0,0,0,0,0,0,6,139,2,0,0,0,5
Martellus Bennett,NE,CLE,home,30.0,0,0,0,0,0,0,0,0,0,0,6,67,3,0,0,0,5
Greg Olsen,CAR,@TB,away,27.0,0,0,0,0,0,0,0,0,0,0,9,181,0,0,0,0,5
Cameron Meredith,CHI,IND,home,27.0,0,0,0,0,0,0,1,6,0,0,9,130,1,0,1,0,5
Brian Hoyer,CHI,IND,home,27.0,43,33,397,2,0,0,1,-1,0,0,0,0,0,0,0,0,5
Amari Cooper,OAK,@SD,away,27.0,0,0,0,0,0,0,0,0,0,0,6,138,1,1,0,0,5
Brandon LaFell,CIN,DAL,home,26.0,0,0,0,0,0,0,0,0,0,0,8,68,2,0,0,0,5
Larry Fitzgerald,ARI,SF,home,26.0,0,0,0,0,0,0,0,0,0,0,6,81,2,0,0,0,5
Tevin Coleman,ATL,DEN,home,26.0,0,0,0,0,0,0,6,31,0,0,4,132,1,0,0,0,5
Adam Thielen,MIN,@HOU,away,25.0,0,0,0,0,0,0,0,0,0,0,7,127,1,0,0,0,5
Matthew Stafford,DET,@PHI,away,25.0,25,19,180,3,0,0,6,16,0,0,0,0,0,0,1,0,5
Theo Riddick,DET,@PHI,away,25.0,0,0,0,0,0,0,11,49,0,0,6,33,2,0,0,0,5
Brandon Marshall,NYJ,PIT,home,25.0,0,0,0,0,0,0,0,0,0,0,8,114,1,0,0,0,5
Andrew Luck,IND,@CHI,away,25.0,39,28,322,2,0,0,5,13,0,0,0,0,0,0,0,0,5
Andy Dalton,CIN,DAL,home,25.0,41,29,269,2,0,0,6,34,0,0,0,0,0,0,0,0,5
Derek Carr,OAK,@SD,away,25.0,40,25,317,2,1,1,2,13,0,0,0,0,0,0,0,0,5
Jeremy Kerley,SF,@ARI,away,24.0,0,0,0,0,0,0,0,0,0,0,8,102,1,0,0,0,5
Jordan Howard,CHI,IND,home,24.0,0,0,0,0,0,0,16,118,0,0,3,45,1,0,0,0,5
Le'Veon Bell,PIT,@NYJ,away,23.0,0,0,0,0,0,0,20,66,0,0,9,88,0,0,0,0,5
Tyrell Williams,SD,OAK,home,22.0,0,0,0,0,0,0,0,0,0,0,5,117,1,0,0,0,5
Carlos Hyde,SF,@ARI,away,22.0,0,0,0,0,0,0,22,78,1,0,6,36,0,0,0,0,5
Antonio Brown,PIT,@NYJ,away,22.0,0,0,0,0,0,0,0,0,0,0,9,78,1,0,0,0,5
Sam Bradford,MIN,@HOU,away,22.0,30,22,271,2,0,0,2,-2,0,0,0,0,0,0,0,0,5
Blaine Gabbert,SF,@ARI,away,21.0,31,18,162,1,2,0,10,70,1,0,0,0,0,0,0,0,5
Carson Wentz,PHI,DET,home,20.0,33,25,238,2,1,0,2,14,0,0,0,0,0,0,0,0,5
Dak Prescott,DAL,@CIN,away,20.0,24,18,227,1,0,0,7,4,1,0,0,0,0,0,1,0,5
Devonta Freeman,ATL,DEN,home,20.0,0,0,0,0,0,0,23,88,1,0,3,35,0,0,0,0,5
Mike Evans,TB,CAR,home,20.0,0,0,0,0,0,0,0,0,0,0,6,89,1,0,0,0,5
Cameron Artis-Payne,CAR,@TB,away,20.0,0,0,0,0,0,0,18,85,2,0,0,0,0,0,0,0,5
Aaron Rodgers,GB,@NYG,away,19.0,45,23,259,2,2,0,5,15,0,0,0,0,0,0,0,0,5
