Player,Team,Opponent,Location,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,Week
Andrew Luck,IND,@DET,away,43.0,47,31,385,4,0,1,3,21,0,0,0,0,0,0,0,0,1
Drew Brees,NO,@OAK,away,39.0,42,28,423,4,0,0,2,5,0,0,0,0,0,0,1,0,1
AJ Green,CIN,NYJ,home,36.0,0,0,0,0,0,0,0,0,0,0,12,180,1,0,0,0,1
DeAngelo Williams,PIT,WAS,home,34.0,0,0,0,0,0,0,26,143,2,0,6,28,0,0,0,0,1
Jameis Winston,TB,ATL,home,33.0,32,23,281,4,1,0,4,3,0,0,0,0,0,0,0,0,1
Brandin Cooks,NO,@OAK,away,33.0,0,0,0,0,0,0,1,11,0,0,6,143,2,0,0,0,1
Spencer Ware,KC,@SD,away,32.0,0,0,0,0,0,0,11,70,1,0,7,129,0,0,0,0,1
Willie Snead,NO,@OAK,away,32.0,0,0,0,0,0,0,0,0,0,0,9,172,1,0,0,0,1
Antonio Brown,PIT,WAS,home,32.0,0,0,0,0,0,0,0,0,0,0,8,126,2,0,0,0,1
Matthew Stafford,DET,IND,home,31.0,39,31,340,3,0,0,2,5,0,0,0,0,0,0,0,0,1
Alex Smith,KC,@SD,away,31.0,48,34,363,2,1,0,4,15,1,0,0,0,0,0,0,0,1
CJ Anderson,DEN,@CAR,away,29.0,0,0,0,0,0,0,20,92,1,0,4,47,1,0,0,0,1
Matt Ryan,ATL,@TB,away,28.0,39,27,334,2,0,1,3,10,0,0,0,0,0,0,0,0,1
Ben Roethlisberger,PIT,WAS,home,28.0,37,27,300,3,1,0,1,-2,0,0,0,0,0,0,0,0,1
Larry Fitzgerald,ARI,@NE,away,28.0,0,0,0,0,0,0,0,0,0,0,8,81,2,0,0,0,1
Theo Riddick,DET,IND,home,27.0,0,0,0,0,0,0,7,45,1,0,5,63,1,0,0,0,1
Aaron Rodgers,GB,JAX,home,26.0,34,20,199,2,0,0,4,16,1,0,0,0,0,0,0,0,1
Jordan Matthews,PHI,@CLE,away,24.0,0,0,0,0,0,0,0,0,0,0,7,114,1,0,0,0,1
Eli Manning,NYG,DAL,home,24.0,28,19,207,3,1,0,0,0,0,0,0,0,0,0,0,0,1
Doug Baldwin,SEA,@MIA,away,24.0,0,0,0,0,0,0,0,0,0,0,9,92,1,0,0,0,1
Carson Wentz,PHI,@CLE,away,23.0,37,22,278,2,0,0,2,1,0,0,0,0,0,0,0,0,1
DeMarco Murray,TEN,@MIN,away,23.0,0,0,0,0,0,0,13,42,0,0,5,35,2,0,1,0,1
Derek Carr,OAK,NO,home,23.0,38,24,319,1,0,2,2,16,0,0,0,0,0,0,0,0,1
Danny Woodhead,SD,KC,home,22.0,0,0,0,0,0,0,16,89,0,0,5,31,1,0,0,0,1
